id,prompt,reference,hypothesis,hypothesis_rev,prompts_plus_orth,prompts_plus_hypo,prompt_aligned,prompt_aligned_rev
S01C002V1_2LG,water,CORRECTLY_READ,wetter,wetter,0,1,*wat*er,*wa*ter
S01C002V1_2LG,mevrouw,CORRECTLY_READ,mevrouw,mevrouw,0,0,mevrouw,mevrouw
S01C002V1_2LG,drogen,e/34/14,dronken,dronken,1,1,drog*en,dro*gen
S01C002V1_2LG,winkel,CORRECTLY_READ,winkel,winkel,0,0,winkel,winkel
S01C002V1_2LG,auto,CORRECTLY_READ,auto,auto,0,0,auto,auto
S01C002V1_2LG,schouder,CORRECTLY_READ,schouders,schouders,0,0,schouder*,schouder*
S01C002V1_2LG,verhaal,CORRECTLY_READ,verhaal,verhaal,0,0,verhaal,verhaal
S01C002V1_2LG,koning,CORRECTLY_READ,koning,koning,0,0,koning,koning
S01C002V1_2LG,moeilijk,c/e/38,moe*l**ke,moe*l**ke,1,1,moeilijk*,moeilijk*
S01C002V1_2LG,speelplaats,CORRECTLY_READ,speelplaats,speelplaats,0,0,speelplaats,speelplaats
S01C002V1_2LG,drinken,CORRECTLY_READ,drinken,drinken,0,0,drinken,drinken
S01C002V1_2LG,hoofdpijn,c,hoofdpijn,hoofdpijn,1,0,hoofdpijn,hoofdpijn
S01C002V1_2LG,regen,CORRECTLY_READ,regen,regen,0,0,regen,regen
S01C002V1_2LG,vliegtuig,CORRECTLY_READ,vliegtuig,vliegtuig,0,0,vliegtuig,vliegtuig
S01C002V1_2LG,stoppen,CORRECTLY_READ,stoppen,stoppen,0,0,stoppen,stoppen
S01C002V1_2LG,opnieuw,CORRECTLY_READ,opnieuw,opnieuw,0,0,opnieuw,opnieuw
S01C002V1_2LG,gooien,g/4/10,groeien,groeien,1,1,g*ooien,g*ooien
S01C002V1_2LG,schreeuwen,CORRECTLY_READ,s**neeuwen,sn**eeuwen,0,1,schreeuwen,schreeuwen
S01C002V1_2LG,moeder,CORRECTLY_READ,moeder,moeder,0,0,moeder,moeder
S01C002V1_2LG,liedje,CORRECTLY_READ,liedje,liedje,0,0,liedje,liedje
S01C002V1_2LG,potlood,CORRECTLY_READ,potlood,potlood,0,0,potlood,potlood
S01C002V1_2LG,fietsbel,CORRECTLY_READ,fietsbel,fietsbel,0,0,fietsbel,fietsbel
S01C002V1_2LG,vinger,CORRECTLY_READ,winger,winger,0,1,vinger,vinger
S01C002V1_2LG,dichtbij,CORRECTLY_READ,dichtbij,dichtbij,0,0,dichtbij,dichtbij
S01C002V1_2LG,meisje,CORRECTLY_READ,meisje,meisje,0,0,meisje,meisje
S01C002V1_2LG,chauffeur,g/33/6,schou*de*r,schoud*e*r,1,1,*chauffeur,*chauffeur
S01C002V1_2LG,muziek,CORRECTLY_READ,muziek,muziek,0,0,muziek,muziek
S01C002V1_2LG,waarom,CORRECTLY_READ,w*ar*m,wa*r*m,0,1,waarom,waarom
S01C002V1_2LG,scheuren,CORRECTLY_READ,sch*uren,sch*uren,0,1,scheuren,scheuren
S01C002V1_2LG,lawaai,CORRECTLY_READ,lawaai,lawaai,0,0,lawaai,lawaai
S01C002V1_2LG,zwemmen,CORRECTLY_READ,zwemmen,zwemmen vuurwerk,0,0,zwemmen,zwemmen*********
S01C002V1_2LG,vuurwerk,CORRECTLY_READ,vuurwerk,vuurwerk,0,0,vuurwerk,vuurwerk
S01C002V1_2LG,appel,CORRECTLY_READ,vuurwerk appel,appel,0,0,*********appel,appel
S01C002V1_2LG,cola,g/13,scholen,scholen,1,1,*c*ola*,*c*ola*
S01C002V1_2LG,kussen,CORRECTLY_READ,kussen,kussen,0,0,kussen,kussen
S01C002V1_2LG,eerste,CORRECTLY_READ,eerste,eerste,0,0,eerste,eerste
S01C002V1_2LG,circus,g/13/30/38,*ur*en,*ur*en,1,1,circus,circus
S01C002V1_2LG,kleuren,CORRECTLY_READ,kleuren,kleuren,0,0,kleuren,kleuren
S01C002V1_2LG,voetbal,CORRECTLY_READ,voetbal,voetbal,0,0,voetbal,voetbal
S01C002V1_2LG,vlinder,CORRECTLY_READ,vlinder,vlinder,0,0,vlinder,vlinder
S01C002V1_3+4LG,omdraaien,CORRECTLY_READ,omdraaien,omdraaien,0,0,*omdraaien,*omdraaien
S01C002V1_3+4LG,poppenwagen,CORRECTLY_READ,poppen wagen,poppen wagen,0,1,poppen*wagen,poppen*wagen
S01C002V1_3+4LG,konijnenhok,28,konijnenhoek,konijnenhoek,1,1,konijnenho*k,konijnenho*k
S01C002V1_3+4LG,elastiekje,CORRECTLY_READ,elastiekje,elastiekje,0,0,elastiekje,elastiekje
S01C002V1_3+4LG,ruziemaken,CORRECTLY_READ,ruzie maken,ruzie maken het eet,0,1,ruzie*maken,ruzie*maken********
S01C002V1_3+4LG,teddybeer,CORRECTLY_READ,het eet teddybeer,teddybeer,0,0,**t*e*****ddybeer,teddybeer
S01C002V1_3+4LG,dierentuin,CORRECTLY_READ,dierentuin,dierentuin aantal,0,0,dierentuin,dierentui****n***
S01C002V1_3+4LG,paddenstoelen,29,aantal pappanstoelen,pappanstoelen,1,1,*******paddenstoelen,paddenstoelen
S01C002V1_3+4LG,verstoppetje,CORRECTLY_READ,verstoppertje,verstoppertje,0,1,verstoppe*tje,verstoppe*tje
S01C002V1_3+4LG,wasmachine,28,wasmachine,wasmachine,1,0,wasmachine,wasmachine
S01C002V1_3+4LG,fototoestel,CORRECTLY_READ,foto toestel,foto toestel,0,1,foto*toestel,foto*toestel
S01C002V1_3+4LG,toiletpapier,g/6/23,*o*lie*papier,*oli*e*papier,1,1,toil*etpapier,to*iletpapier
S01C002V1_3+4LG,vrachtwagen,CORRECTLY_READ,verachtwagen,verachtwagen,0,1,v*rachtwagen,v*rachtwagen
S01C002V1_3+4LG,buurmannen,CORRECTLY_READ,buurmannen,buurmannen,0,0,buurmannen,buurmannen
S01C002V1_3+4LG,vogelkooi,CORRECTLY_READ,vogelkooi,vogelkooi,0,0,vogelkooi,vogelkooi
S01C002V1_3+4LG,olifant,CORRECTLY_READ,olifant,olifant,0,0,olifant,olifant
S01C002V1_3+4LG,schommelen,CORRECTLY_READ,schommelen,schommelen,0,0,schommelen,schommelen
S01C002V1_3+4LG,iedereen,e/j,**dier*en,die**re*n,1,1,ied*ereen,*iedereen
S01C002V1_3+4LG,schoenenwinkel,CORRECTLY_READ,schoenenwinkel,schoenenwinkel,0,0,schoenenwinkel,schoenenwinkel
S01C002V1_3+4LG,knutselen,28,knusselen,knusselen,1,1,knutselen,knutselen
S01C002V1_3+4LG,ophangen,CORRECTLY_READ,ophangen,ophangen,0,0,ophangen,ophangen
S01C002V1_3+4LG,verjaardag,CORRECTLY_READ,verjaardag,verjaardag,0,0,verjaardag,verjaardag
S01C002V1_3+4LG,sprookjesboek,CORRECTLY_READ,sprookjesboek,sprookjesboek,0,0,sprookjesboek,sprookjesboek
S01C002V1_3+4LG,tandenborstel,CORRECTLY_READ,tandenborstel,tandenborstel,0,0,tandenborstel,tandenborstel
S01C002V1_3+4LG,lucifer,CORRECTLY_READ,lucifer,lucifer,0,0,lucifer,lucifer
S01C002V1_3+4LG,slaapkamer,g/4/23,slaapkamer,slaapkamer,1,0,slaapkamer,slaapkamer
S01C002V1_3+4LG,achterdeur,13,achterdeur,achterdeur,1,0,achterdeur,achterdeur
S01C002V1_3+4LG,ziekenhuis,CORRECTLY_READ,ziekenhuis,ziekenhuis,0,0,ziekenhuis,ziekenhuis
S01C002V1_3+4LG,nieuwsgierig,CORRECTLY_READ,nieuwsgierig,nieuwsgierig,0,0,nieuwsgierig,nieuwsgierig
S01C002V1_3+4LG,afblijven,CORRECTLY_READ,afblijven,afblijven,0,0,afblijven,afblijven
S01C002V1_3+4LG,kabouter,CORRECTLY_READ,kabouter,kabouter,0,0,kabouter,kabouter
S01C002V1_3+4LG,washandje,CORRECTLY_READ,washandje,washandje,0,0,washandje,washandje
S01C002V1_3+4LG,sneeuwwitje,CORRECTLY_READ,sneeuwwitje,sneeuwwitje,0,0,sneeuwwitje,sneeuwwitje
S01C002V1_3+4LG,goeiendag,CORRECTLY_READ,goeiendag,goeiendag,0,0,goeiendag,goeiendag
S01C002V1_3+4LG,vakantie,g/4/13,vakantie,vakantie,1,0,vakantie,vakantie
S01C002V1_3+4LG,limonade,c/g/35,limonade,limonade,1,0,limonade,limonade
S01C002V1_3+4LG,autorijden,g/35,autohijnden,autohijnden,1,1,autorij*den,autorij*den
S01C002V1_3+4LG,eindelijk,CORRECTLY_READ,eindelijk,eindelijk,0,0,eindelijk,eindelijk
S01C002V1_3+4LG,familie,CORRECTLY_READ,familiefamilie,familiefamilie,0,0,familie*******,*******familie
S01C002V1_3+4LG,chocolade,c/33/13/26,geho*oselata gehooselat,gehooselata gehooselat,1,1,c*hoco**lad***e********,c*h*ocol**a******de***
S01C006M1_1LG,klas,CORRECTLY_READ,klas,klas,0,0,*klas,*klas
S01C006M1_1LG,mooi,CORRECTLY_READ,mooi,mooi,0,0,mooi,mooi
S01C006M1_1LG,koe,CORRECTLY_READ,koel,koel,0,0,koe*,koe*
S01C006M1_1LG,arm,CORRECTLY_READ,arm,arm,0,0,arm,arm
S01C006M1_1LG,groei,CORRECTLY_READ,groei,groei,0,0,groei,groei
S01C006M1_1LG,strand,CORRECTLY_READ,strand,strand,0,0,strand,strand
S01C006M1_1LG,bed,CORRECTLY_READ,bed,bed,0,0,bed,bed
S01C006M1_1LG,eerst,CORRECTLY_READ,eerst,eerst,0,0,eerst,eerst
S01C006M1_1LG,voor,CORRECTLY_READ,voor,voor,0,0,voor,voor
S01C006M1_1LG,draai,CORRECTLY_READ,draai,draai,0,0,draai,draai
S01C006M1_1LG,sjaal,CORRECTLY_READ,sjaal,sjaal,0,0,sjaal,sjaal
S01C006M1_1LG,herfst,23,herfst,herfst,1,0,herfst,herfst
S01C006M1_1LG,duur,CORRECTLY_READ,buur,buur,0,1,duur,duur
S01C006M1_1LG,straat,CORRECTLY_READ,straat,straat,0,0,straat,straat
S01C006M1_1LG,leeuw,CORRECTLY_READ,leeuw,leeuw,0,0,leeuw,leeuw
S01C006M1_1LG,clown,CORRECTLY_READ,klo*on,kloo*n,0,1,clow*n,cl*own
S01C006M1_1LG,hoek,CORRECTLY_READ,hoek,hoek,0,0,hoek,hoek
S01C006M1_1LG,krant,CORRECTLY_READ,krant,krant,0,0,krant,krant
S01C006M1_1LG,hout,CORRECTLY_READ,hout,hout,0,0,hout,hout
S01C006M1_1LG,vriend,CORRECTLY_READ,vriend,vriend,0,0,vriend,vriend
S01C006M1_1LG,gauw,CORRECTLY_READ,goud,goud,0,1,gauw,gauw
S01C006M1_1LG,chips,CORRECTLY_READ,chips,chips,0,0,chips,chips
S01C006M1_1LG,groen,CORRECTLY_READ,groen,groen,0,0,groen,groen
S01C006M1_1LG,feest,CORRECTLY_READ,feest,feest,0,0,feest,feest
S01C006M1_1LG,reis,CORRECTLY_READ,gr*ijs,gr*ijs,0,1,*rei*s,*rei*s
S01C006M1_1LG,jas,CORRECTLY_READ,jas,jas,0,0,jas,jas
S01C006M1_1LG,huis,CORRECTLY_READ,huis,huis,0,0,huis,huis
S01C006M1_1LG,paard,CORRECTLY_READ,paard,paard,0,0,paard,paard
S01C006M1_1LG,vijf,CORRECTLY_READ,vijf,vijf,0,0,vijf,vijf
S01C006M1_1LG,muts,CORRECTLY_READ,muts,muts,0,0,muts,muts
S01C006M1_1LG,nieuw,CORRECTLY_READ,nieuw,nieuw,0,0,nieuw,nieuw
S01C006M1_1LG,kind,CORRECTLY_READ,kind,kind,0,0,kind,kind
S01C006M1_1LG,bang,CORRECTLY_READ,bang,bang,0,0,bang,bang
S01C006M1_1LG,oog,e/35,hoog,hoog,1,0,*oog,*oog
S01C006M1_1LG,zacht,CORRECTLY_READ,zacht,zacht,0,0,zacht,zacht
S01C006M1_1LG,schoen,CORRECTLY_READ,schoen,schoen,0,0,schoen,schoen
S01C006M1_1LG,plas,CORRECTLY_READ,plas,plas,0,0,plas,plas
S01C006M1_1LG,neus,CORRECTLY_READ,neus,neus,0,0,neus,neus
S01C006M1_1LG,knoop,CORRECTLY_READ,knoop,knoop,0,0,knoop,knoop
S01C006M1_1LG,plank,CORRECTLY_READ,plank,plank,0,0,plank,plank
S01C006M1_2LG,water,CORRECTLY_READ,water,water,0,0,*water,*water
S01C006M1_2LG,mevrouw,CORRECTLY_READ,mevrouw,mevrouw,0,0,mevrouw,mevrouw
S01C006M1_2LG,drogen,CORRECTLY_READ,drogen,drogen,0,0,drogen,drogen
S01C006M1_2LG,winkel,CORRECTLY_READ,winkel,winkel,0,0,winkel,winkel
S01C006M1_2LG,auto,CORRECTLY_READ,auto,auto,0,0,auto,auto
S01C006M1_2LG,schouder,CORRECTLY_READ,schouders,schouders,0,0,schouder*,schouder*
S01C006M1_2LG,verhaal,CORRECTLY_READ,verhaal,verhaal,0,0,verhaal,verhaal
S01C006M1_2LG,koning,CORRECTLY_READ,koning,koning,0,0,koning,koning
S01C006M1_2LG,moeilijk,CORRECTLY_READ,moeilijk,moeilijk,0,0,moeilijk,moeilijk
S01C006M1_2LG,speelplaats,CORRECTLY_READ,speelplaats,speelplaats,0,0,speelplaats,speelplaats
S01C006M1_2LG,drinken,CORRECTLY_READ,drinken,drinken,0,0,drinken,drinken
S01C006M1_2LG,hoofdpijn,CORRECTLY_READ,hoofdpijn,hoofdpijn,0,0,hoofdpijn,hoofdpijn
S01C006M1_2LG,regen,CORRECTLY_READ,regen,regen,0,0,regen,regen
S01C006M1_2LG,vliegtuig,CORRECTLY_READ,vliegtuig,vliegtuig,0,0,vliegtuig,vliegtuig
S01C006M1_2LG,stoppen,CORRECTLY_READ,stoppen,stoppen,0,0,stoppen,stoppen
S01C006M1_2LG,opnieuw,CORRECTLY_READ,opnieuw,opnieuw,0,0,opnieuw,opnieuw
S01C006M1_2LG,gooien,CORRECTLY_READ,gooien,gooien,0,0,gooien,gooien
S01C006M1_2LG,schreeuwen,CORRECTLY_READ,s**neeuwen,sn**eeuwen,0,1,schreeuwen,schreeuwen
S01C006M1_2LG,moeder,CORRECTLY_READ,moeder,moeder,0,0,moeder,moeder
S01C006M1_2LG,liedje,CORRECTLY_READ,liedje,liedje,0,0,liedje,liedje
S01C006M1_2LG,potlood,g/35,potlood,potlood,1,0,potlood,potlood
S01C006M1_2LG,fietsbel,CORRECTLY_READ,fietsbel,fietsbel,0,0,fietsbel,fietsbel
S01C006M1_2LG,vinger,CORRECTLY_READ,vinger,vinger,0,0,vinger,vinger
S01C006M1_2LG,dichtbij,CORRECTLY_READ,dichtbij,dichtbij,0,0,dichtbij,dichtbij
S01C006M1_2LG,meisje,CORRECTLY_READ,meisje,meisje,0,0,meisje,meisje
S01C006M1_2LG,chauffeur,CORRECTLY_READ,chauffeur,chauffeur,0,0,chauffeur,chauffeur
S01C006M1_2LG,muziek,CORRECTLY_READ,muziek,muziek,0,0,muziek,muziek
S01C006M1_2LG,waarom,CORRECTLY_READ,waarom,waarom,0,0,waarom,waarom
S01C006M1_2LG,scheuren,CORRECTLY_READ,scheuren,scheuren,0,0,scheuren,scheuren
S01C006M1_2LG,lawaai,CORRECTLY_READ,lawaai,lawaai,0,0,lawaai,lawaai
S01C006M1_2LG,zwemmen,CORRECTLY_READ,zwemmen,zwemmen,0,0,zwemmen,zwemmen
S01C006M1_2LG,vuurwerk,CORRECTLY_READ,vuurwerk,vuurwerk,0,0,vuurwerk,vuurwerk
S01C006M1_2LG,appel,CORRECTLY_READ,appel,appel,0,0,appel,appel
S01C006M1_2LG,cola,CORRECTLY_READ,cola,cola,0,0,cola,cola
S01C006M1_2LG,kussen,CORRECTLY_READ,kussen,kussen,0,0,kussen,kussen
S01C006M1_2LG,eerste,CORRECTLY_READ,eerste,eerste,0,0,eerste,eerste
S01C006M1_2LG,circus,CORRECTLY_READ,circus,circus,0,0,circus,circus
S01C006M1_2LG,kleuren,CORRECTLY_READ,kleuren,kleuren,0,0,kleuren,kleuren
S01C006M1_2LG,voetbal,CORRECTLY_READ,voetbal,voetbal,0,0,voetbal,voetbal
S01C006M1_2LG,vlinder,CORRECTLY_READ,vliender,vliender,0,1,vli*nder,vli*nder
S01C006M1_3+4LG,omdraaien,CORRECTLY_READ,omdraaien,omdraaien,0,0,*omdraaien,*omdraaien
S01C006M1_3+4LG,poppenwagen,CORRECTLY_READ,poppenwagen,poppenwagen,0,0,poppenwagen,poppenwagen
S01C006M1_3+4LG,konijnenhok,CORRECTLY_READ,konijnenhok,konijnenhok,0,0,konijnenhok,konijnenhok
S01C006M1_3+4LG,elastiekje,CORRECTLY_READ,elastiekje,elastiekje,0,0,elastiekje,elastiekje
S01C006M1_3+4LG,ruziemaken,CORRECTLY_READ,ruzie maken,ruzie maken,0,1,ruzie*maken,ruzie*maken
S01C006M1_3+4LG,teddybeer,CORRECTLY_READ,teddybeer,teddybeer,0,0,teddybeer,teddybeer
S01C006M1_3+4LG,dierentuin,CORRECTLY_READ,dierentuin,dierentuin,0,0,dierentuin,dierentuin
S01C006M1_3+4LG,paddenstoelen,CORRECTLY_READ,paddenstoelen,paddenstoelen,0,0,paddenstoelen,paddenstoelen
S01C006M1_3+4LG,verstoppetje,CORRECTLY_READ,verstoppertje,verstoppertje,0,1,verstoppe*tje,verstoppe*tje
S01C006M1_3+4LG,wasmachine,CORRECTLY_READ,wasmachine,wasmachine,0,0,wasmachine,wasmachine
S01C006M1_3+4LG,fototoestel,CORRECTLY_READ,fototoestel,fototoestel,0,0,fototoestel,fototoestel
S01C006M1_3+4LG,toiletpapier,CORRECTLY_READ,toiletpapier,toiletpapier,0,0,toiletpapier,toiletpapier
S01C006M1_3+4LG,vrachtwagen,CORRECTLY_READ,vrachtwagen,vrachtwagen,0,0,vrachtwagen,vrachtwagen
S01C006M1_3+4LG,buurmannen,CORRECTLY_READ,buurmannen,buurmannen,0,0,buurmannen,buurmannen
S01C006M1_3+4LG,vogelkooi,CORRECTLY_READ,vogelkooi,vogelkooi,0,0,vogelkooi,vogelkooi
S01C006M1_3+4LG,olifant,CORRECTLY_READ,olifant,olifant,0,0,olifant,olifant
S01C006M1_3+4LG,schommelen,CORRECTLY_READ,schommelen,schommelen,0,0,schommelen,schommelen
S01C006M1_3+4LG,iedereen,CORRECTLY_READ,iedereen,iedereen,0,0,iedereen,iedereen
S01C006M1_3+4LG,schoenenwinkel,e/25,scho**enwinkel,schoen**winkel,1,1,schoenenwinkel,schoenenwinkel
S01C006M1_3+4LG,knutselen,CORRECTLY_READ,knutselen,knutselen,0,0,knutselen,knutselen
S01C006M1_3+4LG,ophangen,CORRECTLY_READ,ophangen,ophangen,0,0,ophangen,ophangen
S01C006M1_3+4LG,verjaardag,CORRECTLY_READ,verjaardag,verjaardag,0,0,verjaardag,verjaardag
S01C006M1_3+4LG,sprookjesboek,CORRECTLY_READ,sprookjesboek,sprookjesboek,0,0,sprookjesboek,sprookjesboek
S01C006M1_3+4LG,tandenborstel,CORRECTLY_READ,tandenborstel,tandenborstel,0,0,tandenborstel,tandenborstel
S01C006M1_3+4LG,lucifer,14,lucifer,lucifer,1,0,lucifer,lucifer
S01C006M1_3+4LG,slaapkamer,CORRECTLY_READ,slaapkamer,slaapkamer,0,0,slaapkamer,slaapkamer
S01C006M1_3+4LG,achterdeur,CORRECTLY_READ,achterdeur,achterdeur,0,0,achterdeur,achterdeur
S01C006M1_3+4LG,ziekenhuis,CORRECTLY_READ,ziekenhuis,ziekenhuis,0,0,ziekenhuis,ziekenhuis
S01C006M1_3+4LG,nieuwsgierig,c/30/38,nieuwsgierig,nieuwsgierig,1,0,nieuwsgierig,nieuwsgierig
S01C006M1_3+4LG,afblijven,CORRECTLY_READ,afblijven,afblijven,0,0,afblijven,afblijven
S01C006M1_3+4LG,kabouter,CORRECTLY_READ,kabouter,kabouter,0,0,kabouter,kabouter
S01C006M1_3+4LG,washandje,CORRECTLY_READ,washandje,washandje,0,0,washandje,washandje
S01C006M1_3+4LG,sneeuwwitje,CORRECTLY_READ,sneeuwwitje,sneeuwwitje,0,0,sneeuwwitje,sneeuwwitje
S01C006M1_3+4LG,goeiendag,CORRECTLY_READ,goe*dendag,goed*endag,0,1,goei*endag,goe*iendag
S01C006M1_3+4LG,vakantie,CORRECTLY_READ,vakantie,vakantie,0,0,vakantie,vakantie
S01C006M1_3+4LG,limonade,CORRECTLY_READ,limonade,limonade,0,0,limonade,limonade
S01C006M1_3+4LG,autorijden,CORRECTLY_READ,autorijden,autorijden,0,0,autorijden,autorijden
S01C006M1_3+4LG,eindelijk,CORRECTLY_READ,eindelijk,eindelijk,0,0,eindelijk,eindelijk
S01C006M1_3+4LG,familie,CORRECTLY_READ,familie,familie,0,0,familie,familie
S01C006M1_3+4LG,chocolade,CORRECTLY_READ,chocolade,chocolade,0,0,chocolade,chocolade
S01C014V1_1LG,klas,CORRECTLY_READ,glas,glas,0,1,*klas,*klas
S01C014V1_1LG,mooi,CORRECTLY_READ,mooi,mooi,0,0,mooi,mooi
S01C014V1_1LG,koe,CORRECTLY_READ,koe,koe,0,0,koe,koe
S01C014V1_1LG,arm,CORRECTLY_READ,arm,arm,0,0,arm,arm
S01C014V1_1LG,groei,CORRECTLY_READ,groei,groei,0,0,groei,groei
S01C014V1_1LG,strand,CORRECTLY_READ,strand,strand,0,0,strand,strand
S01C014V1_1LG,bed,CORRECTLY_READ,bed,bed,0,0,bed,bed
S01C014V1_1LG,eerst,CORRECTLY_READ,eerst,eerst,0,0,eerst,eerst
S01C014V1_1LG,voor,CORRECTLY_READ,voor,voor,0,0,voor,voor
S01C014V1_1LG,draai,CORRECTLY_READ,traai,traai,0,1,draai,draai
S01C014V1_1LG,sjaal,CORRECTLY_READ,sjaal,sjaal,0,0,sjaal,sjaal
S01C014V1_1LG,herfst,CORRECTLY_READ,herfst,herfst,0,0,herfst,herfst
S01C014V1_1LG,duur,CORRECTLY_READ,deur,deur,0,1,duur,duur
S01C014V1_1LG,straat,CORRECTLY_READ,straat,straat,0,0,straat,straat
S01C014V1_1LG,leeuw,CORRECTLY_READ,dee*l,dee*l,0,1,leeuw,leeuw
S01C014V1_1LG,clown,CORRECTLY_READ,klo*on,kloo*n,0,1,clow*n,cl*own
S01C014V1_1LG,hoek,CORRECTLY_READ,hoek,hoek,0,0,hoek,hoek
S01C014V1_1LG,krant,CORRECTLY_READ,krant,krant,0,0,krant,krant
S01C014V1_1LG,hout,CORRECTLY_READ,hout,hout,0,0,hout,hout
S01C014V1_1LG,vriend,CORRECTLY_READ,vriend,vriend,0,0,vriend,vriend
S01C014V1_1LG,gauw,CORRECTLY_READ,vouw,vouw,0,1,gauw,gauw
S01C014V1_1LG,chips,g/13,*gips,g*ips,1,1,chips,chips
S01C014V1_1LG,groen,CORRECTLY_READ,kro*n,kro*n,0,1,groen,groen
S01C014V1_1LG,feest,CORRECTLY_READ,feest,feest,0,0,feest,feest
S01C014V1_1LG,reis,CORRECTLY_READ,reis,reis,0,0,reis,reis
S01C014V1_1LG,jas,CORRECTLY_READ,jas,jas,0,0,jas,jas
S01C014V1_1LG,huis,CORRECTLY_READ,huis,huis,0,0,huis,huis
S01C014V1_1LG,paard,CORRECTLY_READ,paard,paard,0,0,paard,paard
S01C014V1_1LG,vijf,CORRECTLY_READ,wijf,wijf,0,1,vijf,vijf
S01C014V1_1LG,muts,CORRECTLY_READ,muts,muts,0,0,muts,muts
S01C014V1_1LG,nieuw,CORRECTLY_READ,n*eel,nee*l,0,1,nieuw,nieuw
S01C014V1_1LG,kind,CORRECTLY_READ,kind,kind,0,0,kind,kind
S01C014V1_1LG,bang,CORRECTLY_READ,bang,bang,0,0,bang,bang
S01C014V1_1LG,oog,CORRECTLY_READ,oog,oog,0,0,oog,oog
S01C014V1_1LG,zacht,CORRECTLY_READ,zacht,zacht,0,0,zacht,zacht
S01C014V1_1LG,schoen,CORRECTLY_READ,schoen,schoen,0,0,schoen,schoen
S01C014V1_1LG,plas,CORRECTLY_READ,glas,glas,0,1,plas,plas
S01C014V1_1LG,neus,CORRECTLY_READ,neus,neus,0,0,neus,neus
