prompt,hypothesis,prompt_aligned,prompt_aligned_rev,hypothesis_rev,reference,prompts_plus_orth,prompts_plus_hypo,id,conf_mat_val
schouder,oud erschouders,******schouder*,**schouder*,erschouders,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
moeilijk,hoe o ke mel ke,moe*i*li*j***k*,m***o**e**il******i**j**k,hoe o ke mel ke heel laat,c/e/38,1,1,S01C002V1_2LG,TP
speelplaats,heel laat speelplaats,**********speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
hoofdpijn,hoofdijn hooftijn,hoofd*p*******ijn,hoofd********pijn,hoofdijn hooftijn,c,1,1,S01C002V1_2LG,TP
regen,gigen,regen,regen***********,gigen va ligtuig,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
vliegtuig,va ligtuig vliegtuig,v**li*********egtuig,vliegtuig,vliegtuig,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
gooien,goeien,gooien,gooien,goeien,g/4/10,1,1,S01C002V1_2LG,TP
schreeuwen,s**neeuwen,schreeuwen,schreeuwen,sn**eeuwen,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
moeder,moeder,moeder,moeder,moeder,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
liedje,li*tje,liedje,li**e*d**j*e*,litje pooloot,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
potlood,pooloot potloot,po****t****lood,potlood,potloot,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
fietsbel,fiets wel,fiets*bel,fiets*bel,fiets wel,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
vinger,winder,vinger,vinger*************,winder dia dichtbij,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
dichtbij,dia dichtbij,di****chtbij,dichtbij,dichtbij,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
meisje,dichtbij muis*ier,*********meisj*e*,meis**j*e,muisier a,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
chauffeur,a erga*nfe*r,***chauffeur,*chauffeur,erga*nfe*r,g/33/6,1,1,S01C002V1_2LG,TP
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
waarom,waarom,waarom,waarom**,waarom u,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
scheuren,u s***uven,**scheuren,scheuren,s***uven,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
lawaai,law*ai,lawaai,lawaai,lawa*i,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
zwemmen,*jammen,zwemmen,zwemmen******,j*ammen gwerk,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
vuurwerk,gwerk vuurwerk,******vuurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
appel,appel,appel,appe*****************l*,appel sa oa o o ja sola,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
cola,sa oa o o ja sola,c**o***********la,cola,sola,g/13,1,1,S01C002V1_2LG,TP
kussen,sola kichen,*****kussen,kussen,kichen,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
circus,suisi joren,c*ir**cus**,***ci***rcus,suisi jor*en,g/13/30/38,1,1,S01C002V1_2LG,TP
kleuren,kleuren,kleuren,kleuren,kleuren,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
voetbal,voetbal,voetbal,voetbal,voetbal,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
vlinder,vlendur,vlinder,vlinder,vlendur,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
omdraaien,omdraaien,omdraaien,omdraai*************en,omdraaien poa penwagen,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
poppenwagen,poa penwagen poppenwagen,po**p********p***enwagen,poppenwagen,poppenwagen,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
konijnenhok,konij*enhoe hoek,konijnenho*****k,konij*n**e*nho***k***,konijenhoe *hoek koni,28,1,1,S01C002V1_3+4LG,TP
elastiekje,koni e as kije en lastkje,*el****as*ti*e********kje,e*las*ti***e******kje,e *as kije en lastkje,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
ruziemaken,ruzie maken,ruzie*maken,ruzie*maken,ruzie maken,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
teddybeer,rui maken eet er,te**d*dyb*ee***r,t*e*d*dyb**e**er***,rui maken eet er te,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
dierentuin,te di ber vr en tuin,***di**er****en*tuin,di**e***r*en*tuin,di ber vr en tuin,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
paddenstoelen,dien a dat watdan stoelde toelen,p****a*d******den*stoel*e******n,***p*a*d******den*s*******toelen*********,dien a dat watdan stoelde toelen topertje,29,1,1,S01C002V1_3+4LG,TP
verstoppetje,topertje versto*p*tje,*********verstoppetje,verstoppetje,verstop**tje,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
wasmachine,wasme sin as mcnen s fototoestel,wasm******a***chin*********e****,wasm******a***chin************e*,wasme sin as mcnen s fototoestel,28,1,1,S01C002V1_3+4LG,TP
fototoestel,fototoestel,fototoestel,fototoestel,fototoestel,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
toiletpapier,hoi don papier,toi*let*papier,toi*let*papier,hoi don papier,g/6/23,1,1,S01C002V1_3+4LG,TP
vrachtwagen,ver ach*dagen,v*r*achtwagen,v*r*achtwagen,ver achd*agen,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
buurmannen,v**rachtwagen ameen,buur*m***an*n***e*n,*bu**urma**n**n*en***,vrach*twagen ameen vo,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
vogelkooi,vo vv oi vor coi ohh liefand,vo*g**e**l*k**o**o****i*****,*v*o**gel*ko**o****i*****,vv oi vor coi ohh liefand,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
olifant,olifand,olifant,olifa****n**t,olifand onren,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
schommelen,onren scho*nelen,******schommelen,schommelen,schon*elen,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
iedereen,dien dir*en,*ie**dereen,*ie**d**e****r*e*en,dien diren schoenen,e/j,1,1,S01C002V1_3+4LG,TP
schoenenwinkel,schoenen winkelschroenen,schoenen*winkel*********,******sch*oenen*winkel,winkelschroenen winkel,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
knutselen,winkel ullen nislen,k*n****utse*****len,****k*nutse*******len,ullen nislen ophangen,28,1,1,S01C002V1_3+4LG,TP
ophangen,ophangen,ophangen,ophangen***********,ophangen verjaardag,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
verjaardag,ophangen verjaardag,*********verjaardag,verjaardag*************,verjaardag sp okus boek,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
sprookjesboek,verjaardag sp okus boek sprookjes boek,***********sp*************rookjes*boek,sprookjes*boek,sprookjes boek,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
tandenborstel,dan doeen boedsten borstel,tan*d*e*n*bo*********rstel,ta******n****d**en*bor***************stel,dan doeen boedsten borstel tandan bogstel,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
lucifer,tandan bogstel lusise luiser,*************l**ucife******r,lu*****c*i***********fer,lusise luiser slapkander,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
slaapkamer,slapkander slaap kander,sla**a*********p*kam*er,slaap*ka*mer************,slaap kander slaapkinden,g/4/23,1,1,S01C002V1_3+4LG,TP
achterdeur,slaapkinden acht der duur,**a**********cht**er*deur,acht**er*deu********r,acht der duur acterdr,13,1,1,S01C002V1_3+4LG,TP
ziekenhuis,acterdr wiekenhuis,*z*******iekenhuis,ziekenhuis***,wiekenhuis er,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
nieuwsgierig,er nieuw*gierig,***nieuwsgierig,nieuwsgierig**********,nieuw*gierig afblijven,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
afblijven,afblijven,afblijven,afblijven***********,afblijven kap pouter,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
kabouter,afblijven kap pouter kabouter,**********ka***********bouter,kabouter,kabouter,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
washandje,washandje,washandje,washandje,washandje,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
sneeuwwitje,washandje nee w je nevikje,**s**n**e**eu*w*w*****itje,**s**n**e**eu*w******witj******e****,washandje nee w je nevikje goeiendag,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
goeiendag,goeiendag,goeiendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
vakantie,goeiendag waa ak uh die,v******ak**a***n**t**ie,v***ak*********a*******nti*e,waa ak uh die takendi enti e,g/4/13,1,1,S01C002V1_3+4LG,TP
limonade,takendi enti e men vande,l*****i********mon**a*de,limon**a*de,**men vande,c/g/35,1,1,S01C002V1_3+4LG,TP
autorijden,outoggeinen adornen,autor**ij****d***en,auto*r*i**j**d***en*********,outoggeinen adornen eidelijk,g/35,1,1,S01C002V1_3+4LG,TP
eindelijk,eidelijk eindelijk,ei*********ndelijk,eindelijk,eindelijk,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
familie,amerolifamilie,*******familie,*******familie**,amerolifamilie o,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
chocolade,**o sota g o ope ad,cho*cola*d*****e***,**c**h*o*col**ade,sota g o *ope ad*,c/33/13/26,1,1,S01C002V1_3+4LG,TP
klas,klas,klas,klas,klas,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
koe,koe,koe,koe,koe,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
groei,groei,groei,groei,groei,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
bed,bed,bed,bed,bed,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
draai,draai,draai,draai,draai,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
sjaal,s*aal,sjaal,sjaal,s*aal,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
herfst,herfst,herfst,herfst,herfst,23,1,0,S01C006M1_1LG,FN
duur,g**r,duur,duur,g**r,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
leeuw,n*euw,leeuw,leeuw,ne*uw,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
clown,klo*n,clown,clown,klo*n,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
hoek,hook,hoek,hoek,hook,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
krant,krant,krant,krant,krant,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
hout,hout,hout,hout,hout,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
vriend,vriend,vriend,vriend,vriend,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
gauw,gou scha,gau*w***,gau***w*,gou scha,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
chips,chips,chips,chips,chips,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
groen,groen,groen,groen,groen,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
feest,feest,feest,feest,feest,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
reis,gareis,**reis,**reis,gareis,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
huis,huis,huis,huis,huis,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
paard,paart,paard,paard,paart,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
vijf,vijf,vijf,vijf,vijf,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
muts,mut*,muts,muts,mut*,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
nieuw,nieuw,nieuw,nieuw,nieuw,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
kind,kind,kind,kind,kind,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
bang,ba*l,bang,bang,bal*,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
oog,*hoch,o*og*,*o*og,hoc*h,e/35,1,1,S01C006M1_1LG,TP
zacht,zacht,zacht,zacht,zacht,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
neus,n*uis,neu*s,neus,nuis,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
knoop,knoaknoop,kno***o*p,****knoop,knoaknoop,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
plank,plark,plank,plank,plark,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
water,warter,wa*ter,wa*ter,warter,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
drogen,drogen,drogen,drogen,drogen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
auto,auto,auto,auto,auto,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
schouder,schouders,schouder*,schouder*,schouders,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
regen,regen,regen,regen,regen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
vliegtuig,vliegtuig,vliegtuig,vliegtuig,vliegtuig,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
gooien,gooien,gooien,gooien,gooien,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
schreeuwen,s**neeuwen,schreeuwen,schreeuwen,sn**eeuwen,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
moeder,moeder,moeder,moeder,moeder,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
liedje,li**tier,liedj*e*,l**iedje,litier**,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
potlood,protloot,p*otlood,p*otlood,protloot,g/35,1,1,S01C006M1_2LG,TP
fietsbel,vi*tsbel,fietsbel,fietsbel,vi*tsbel,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
vinger,vinger,vinger,vinger,vinger,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
dichtbij,dicht bij,dicht*bij,dicht*bij,dicht bij,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
meisje,meisje,meisje,meisje***,meisje sa,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
chauffeur,sa chauffeur,***chauffeur,chauffeur,chauffeur,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
waarom,waarom,waarom,waarom,waarom,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
scheuren,scheuren,scheuren,scheuren,scheuren,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
lawaai,lawaai,lawaai,lawaai,lawaai,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
zwemmen,*wemmen,zwemmen,zwemmen***,*wemmen va,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
vuurwerk,va vuurwerk,v***uurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
appel,appel,appel,appel,appel,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
cola,cola,cola,cola,cola,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
kussen,cussen,kussen,kussen,cussen,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
circus,circus,circus,circus,circus,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
kleuren,kleuren,kleuren,kleuren,kleuren,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
voetbal,voetbal,voetbal,voetbal,voetbal,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
vlinder,vliemder,vli*nder,vli*nder,vliemder,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
omdraaien,omdraaien,omdraaien,omdraaien,omdraaien,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
poppenwagen,poppenwagen,poppenwagen,poppenwagen,poppenwagen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
konijnenhok,konijnenrok,konijnenhok,konijnenhok,konijnenrok,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
elastiekje,ellastiekje,el*astiekje,e*lastiekj*****e****,ellastiekje ruze maa,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
ruziemaken,ruze maa ruzie maken,ruz*********ie*maken,ruzie*maken,ruzie maken,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
teddybeer,tet dib*erg,ted*dybeer*,ted*dybeer*,tet dibe*rg,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
dierentuin,dierentuin,dierentuin,dierentuin,dierentuin,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
paddenstoelen,pandenstoelen,paddenstoelen,paddenstoelen,pandenstoelen,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
verstoppetje,verstopperdje,verstoppet*je,verstoppe*tje,verstopperdje,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
wasmachine,wasmachine,wasmachine,wasmachine,wasmachine,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
fototoestel,vototoestel,fototoestel,fototoestel***,vototoestel do,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
toiletpapier,do toonet papier,***toilet*papier,toilet*papier,toonet papier,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
buurmannen,boeremannen,buur*mannen,buur*mannen,boeremannen,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
vogelkooi,vogelkooi,vogelkooi,vogelkooi,vogelkooi,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
olifant,olifant,olifant,olifant,olifant,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
schommelen,schho*melen,sch*ommelen,sc*hommelen,schhom*elen,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
iedereen,i* dev*en,ie*dereen,i*edereen,i *deve*n,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
schoenenwinkel,scho**enwinkel,schoenenwinkel,schoenenwinkel,schoen**winkel,e/25,1,1,S01C006M1_3+4LG,TP
knutselen,knutselen,knutselen,knutselen,knutselen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
ophangen,ophangen,ophangen,ophangen*******,ophangen verjaa,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
verjaardag,verjaa verjaardag,verjaa***r****dag,verjaardag,verjaardag,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
sprookjesboek,sp*oorkjesboek,sproo*kjesboek,sproo*kjesboek,sp*oorkjesboek,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
tandenborstel,tandenborstel,tandenborstel,tandenborstel**,tandenborstel n,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
lucifer,n luchifer,**luc*ifer,luc*ifer,luchifer,14,1,1,S01C006M1_3+4LG,TP
slaapkamer,slaapkamer,slaapkamer,slaapkamer,slaapkamer,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
achterdeur,achterdeur,achterdeur,achterdeur,achterdeur,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
nieuwsgierig,nieuw w sgierig,nieuw***sgierig,nieu**w*sgierig,nieuw w sgierig,c/30/38,1,1,S01C006M1_3+4LG,TP
afblijven,afblijven,afblijven,afblijven,afblijven,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
kabouter,kabouter,kabouter,kabouter,kabouter,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
washandje,washandje,washandje,washandje,washandje,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
sneeuwwitje,sneeuwmietje,sneeuwwi*tje,sneeuwwi*tje,sneeuwmietje,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
goeiendag,groeiendag,g*oeiendag,g*oeiendag,groeiendag,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
limonade,limonaden,limonade*,limonade*,limonaden,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
autorijden,autore*den,autorijden,autorijden,autore*den,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
eindelijk,e*ndelijk,eindelijk,eindelijk,e*ndelijk,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
familie,familie,familie,familie,familie,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
