prompt,hypothesis,prompt_aligned,prompt_aligned_rev,hypothesis_rev,reference,prompts_plus_orth,prompts_plus_hypo,id,conf_mat_val
chips,schip schip,*chip*s****,*chip*s****,schip schip,c/g/35,1,1,S01C002V1_1LG,TP
groen,schoen,gr*oen,*groen,schoen,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
feest,v*est,feest,feest,ve*st,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
reis,huis,reis,reis,huis,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
huis,huis,huis,huis,huis,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
paard,paard,paard,paard,paard,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
vijf,vijf,vijf,vijf,vijf,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
muts,muts,muts,muts,muts,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
nieuw,nieuw,nieuw,nieuw,nieuw,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
kind,kind,kind,kind,kind,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
bang,ban*,bang,bang,ban*,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
oog,oor,oog,oo*****g,oor ja k,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
zacht,ja k jacht,za*****cht,zacht,jacht,g/14/35,1,1,S01C002V1_1LG,TP
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
neus,neus,neus,neus,neus,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
knoop,kn*op,knoop,knoop,kno*p,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
plank,plan*,plank,plank,plan*,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
water,wetter,*wat*er,*wa*ter,wetter,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
drogen,dronken,drog*en,dro*gen,dronken,e/34/14,1,1,S01C002V1_2LG,TP
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
auto,auto,auto,auto,auto,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
schouder,schouders,schouder*,schouder*,schouders,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
moeilijk,moe*l**ke,moeilijk*,moeilijk*,moe*l**ke,c/e/38,1,1,S01C002V1_2LG,TP
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,c,1,0,S01C002V1_2LG,FN
regen,regen,regen,regen,regen,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
vliegtuig,vliegtuig,vliegtuig,vliegtuig,vliegtuig,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
gooien,groeien,g*ooien,g*ooien,groeien,g/4/10,1,1,S01C002V1_2LG,TP
schreeuwen,s**neeuwen,schreeuwen,schreeuwen,sn**eeuwen,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
moeder,moeder,moeder,moeder,moeder,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
liedje,liedje,liedje,liedje,liedje,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
potlood,potlood,potlood,potlood,potlood,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
fietsbel,fietsbel,fietsbel,fietsbel,fietsbel,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
vinger,winger,vinger,vinger,winger,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
dichtbij,dichtbij,dichtbij,dichtbij,dichtbij,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
meisje,meisje,meisje,meisje,meisje,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
chauffeur,schou*de*r,*chauffeur,*chauffeur,schoud*e*r,g/33/6,1,1,S01C002V1_2LG,TP
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
waarom,w*ar*m,waarom,waarom,wa*r*m,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
scheuren,sch*uren,scheuren,scheuren,sch*uren,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
lawaai,lawaai,lawaai,lawaai,lawaai,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
zwemmen,zwemmen,zwemmen,zwemmen*********,zwemmen vuurwerk,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
vuurwerk,vuurwerk,vuurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
appel,vuurwerk appel,*********appel,appel,appel,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
cola,scholen,*c*ola*,*c*ola*,scholen,g/13,1,1,S01C002V1_2LG,TP
kussen,kussen,kussen,kussen,kussen,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
circus,*ur*en,circus,circus,*ur*en,g/13/30/38,1,1,S01C002V1_2LG,TP
kleuren,kleuren,kleuren,kleuren,kleuren,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
voetbal,voetbal,voetbal,voetbal,voetbal,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
vlinder,vlinder,vlinder,vlinder,vlinder,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
omdraaien,omdraaien,*omdraaien,*omdraaien,omdraaien,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
poppenwagen,poppen wagen,poppen*wagen,poppen*wagen,poppen wagen,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
konijnenhok,konijnenhoek,konijnenho*k,konijnenho*k,konijnenhoek,28,1,1,S01C002V1_3+4LG,TP
elastiekje,elastiekje,elastiekje,elastiekje,elastiekje,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
ruziemaken,ruzie maken,ruzie*maken,ruzie*maken********,ruzie maken het eet,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
teddybeer,het eet teddybeer,**t*e*****ddybeer,teddybeer,teddybeer,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
dierentuin,dierentuin,dierentuin,dierentui****n***,dierentuin aantal,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
paddenstoelen,aantal pappanstoelen,*******paddenstoelen,paddenstoelen,pappanstoelen,29,1,1,S01C002V1_3+4LG,TP
verstoppetje,verstoppertje,verstoppe*tje,verstoppe*tje,verstoppertje,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
wasmachine,wasmachine,wasmachine,wasmachine,wasmachine,28,1,0,S01C002V1_3+4LG,FN
fototoestel,foto toestel,foto*toestel,foto*toestel,foto toestel,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
toiletpapier,*o*lie*papier,toil*etpapier,to*iletpapier,*oli*e*papier,g/6/23,1,1,S01C002V1_3+4LG,TP
vrachtwagen,verachtwagen,v*rachtwagen,v*rachtwagen,verachtwagen,CORRECTLY_READ,0,1,S01C002V1_3+4LG,FP
buurmannen,buurmannen,buurmannen,buurmannen,buurmannen,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
vogelkooi,vogelkooi,vogelkooi,vogelkooi,vogelkooi,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
olifant,olifant,olifant,olifant,olifant,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
schommelen,schommelen,schommelen,schommelen,schommelen,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
iedereen,**dier*en,ied*ereen,*iedereen,die**re*n,e/j,1,1,S01C002V1_3+4LG,TP
schoenenwinkel,schoenenwinkel,schoenenwinkel,schoenenwinkel,schoenenwinkel,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
knutselen,knusselen,knutselen,knutselen,knusselen,28,1,1,S01C002V1_3+4LG,TP
ophangen,ophangen,ophangen,ophangen,ophangen,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
verjaardag,verjaardag,verjaardag,verjaardag,verjaardag,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
sprookjesboek,sprookjesboek,sprookjesboek,sprookjesboek,sprookjesboek,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
tandenborstel,tandenborstel,tandenborstel,tandenborstel,tandenborstel,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
lucifer,lucifer,lucifer,lucifer,lucifer,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
slaapkamer,slaapkamer,slaapkamer,slaapkamer,slaapkamer,g/4/23,1,0,S01C002V1_3+4LG,FN
achterdeur,achterdeur,achterdeur,achterdeur,achterdeur,13,1,0,S01C002V1_3+4LG,FN
ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
afblijven,afblijven,afblijven,afblijven,afblijven,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
kabouter,kabouter,kabouter,kabouter,kabouter,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
washandje,washandje,washandje,washandje,washandje,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
sneeuwwitje,sneeuwwitje,sneeuwwitje,sneeuwwitje,sneeuwwitje,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
goeiendag,goeiendag,goeiendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
vakantie,vakantie,vakantie,vakantie,vakantie,g/4/13,1,0,S01C002V1_3+4LG,FN
limonade,limonade,limonade,limonade,limonade,c/g/35,1,0,S01C002V1_3+4LG,FN
autorijden,autohijnden,autorij*den,autorij*den,autohijnden,g/35,1,1,S01C002V1_3+4LG,TP
eindelijk,eindelijk,eindelijk,eindelijk,eindelijk,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
familie,familiefamilie,familie*******,*******familie,familiefamilie,CORRECTLY_READ,0,0,S01C002V1_3+4LG,TN
chocolade,geho*oselata gehooselat,c*hoco**lad***e********,c*h*ocol**a******de***,gehooselata gehooselat,c/33/13/26,1,1,S01C002V1_3+4LG,TP
klas,klas,*klas,*klas,klas,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
koe,koel,koe*,koe*,koel,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
groei,groei,groei,groei,groei,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
bed,bed,bed,bed,bed,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
draai,draai,draai,draai,draai,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
sjaal,sjaal,sjaal,sjaal,sjaal,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
herfst,herfst,herfst,herfst,herfst,23,1,0,S01C006M1_1LG,FN
duur,buur,duur,duur,buur,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
leeuw,leeuw,leeuw,leeuw,leeuw,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
clown,klo*on,clow*n,cl*own,kloo*n,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
hoek,hoek,hoek,hoek,hoek,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
krant,krant,krant,krant,krant,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
hout,hout,hout,hout,hout,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
vriend,vriend,vriend,vriend,vriend,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
gauw,goud,gauw,gauw,goud,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
chips,chips,chips,chips,chips,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
groen,groen,groen,groen,groen,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
feest,feest,feest,feest,feest,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
reis,gr*ijs,*rei*s,*rei*s,gr*ijs,CORRECTLY_READ,0,1,S01C006M1_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
huis,huis,huis,huis,huis,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
paard,paard,paard,paard,paard,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
vijf,vijf,vijf,vijf,vijf,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
muts,muts,muts,muts,muts,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
nieuw,nieuw,nieuw,nieuw,nieuw,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
kind,kind,kind,kind,kind,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
bang,bang,bang,bang,bang,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
oog,hoog,*oog,*oog,hoog,e/35,1,0,S01C006M1_1LG,FN
zacht,zacht,zacht,zacht,zacht,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
neus,neus,neus,neus,neus,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
knoop,knoop,knoop,knoop,knoop,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
plank,plank,plank,plank,plank,CORRECTLY_READ,0,0,S01C006M1_1LG,TN
water,water,*water,*water,water,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
drogen,drogen,drogen,drogen,drogen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
auto,auto,auto,auto,auto,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
schouder,schouders,schouder*,schouder*,schouders,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
regen,regen,regen,regen,regen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
vliegtuig,vliegtuig,vliegtuig,vliegtuig,vliegtuig,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
gooien,gooien,gooien,gooien,gooien,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
schreeuwen,s**neeuwen,schreeuwen,schreeuwen,sn**eeuwen,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
moeder,moeder,moeder,moeder,moeder,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
liedje,liedje,liedje,liedje,liedje,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
potlood,potlood,potlood,potlood,potlood,g/35,1,0,S01C006M1_2LG,FN
fietsbel,fietsbel,fietsbel,fietsbel,fietsbel,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
vinger,vinger,vinger,vinger,vinger,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
dichtbij,dichtbij,dichtbij,dichtbij,dichtbij,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
meisje,meisje,meisje,meisje,meisje,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
chauffeur,chauffeur,chauffeur,chauffeur,chauffeur,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
waarom,waarom,waarom,waarom,waarom,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
scheuren,scheuren,scheuren,scheuren,scheuren,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
lawaai,lawaai,lawaai,lawaai,lawaai,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
zwemmen,zwemmen,zwemmen,zwemmen,zwemmen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
vuurwerk,vuurwerk,vuurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
appel,appel,appel,appel,appel,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
cola,cola,cola,cola,cola,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
kussen,kussen,kussen,kussen,kussen,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
circus,circus,circus,circus,circus,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
kleuren,kleuren,kleuren,kleuren,kleuren,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
voetbal,voetbal,voetbal,voetbal,voetbal,CORRECTLY_READ,0,0,S01C006M1_2LG,TN
vlinder,vliender,vli*nder,vli*nder,vliender,CORRECTLY_READ,0,1,S01C006M1_2LG,FP
omdraaien,omdraaien,*omdraaien,*omdraaien,omdraaien,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
poppenwagen,poppenwagen,poppenwagen,poppenwagen,poppenwagen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
konijnenhok,konijnenhok,konijnenhok,konijnenhok,konijnenhok,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
elastiekje,elastiekje,elastiekje,elastiekje,elastiekje,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
ruziemaken,ruzie maken,ruzie*maken,ruzie*maken,ruzie maken,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
teddybeer,teddybeer,teddybeer,teddybeer,teddybeer,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
dierentuin,dierentuin,dierentuin,dierentuin,dierentuin,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
paddenstoelen,paddenstoelen,paddenstoelen,paddenstoelen,paddenstoelen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
verstoppetje,verstoppertje,verstoppe*tje,verstoppe*tje,verstoppertje,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
wasmachine,wasmachine,wasmachine,wasmachine,wasmachine,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
fototoestel,fototoestel,fototoestel,fototoestel,fototoestel,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
toiletpapier,toiletpapier,toiletpapier,toiletpapier,toiletpapier,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
buurmannen,buurmannen,buurmannen,buurmannen,buurmannen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
vogelkooi,vogelkooi,vogelkooi,vogelkooi,vogelkooi,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
olifant,olifant,olifant,olifant,olifant,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
schommelen,schommelen,schommelen,schommelen,schommelen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
iedereen,iedereen,iedereen,iedereen,iedereen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
schoenenwinkel,scho**enwinkel,schoenenwinkel,schoenenwinkel,schoen**winkel,e/25,1,1,S01C006M1_3+4LG,TP
knutselen,knutselen,knutselen,knutselen,knutselen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
ophangen,ophangen,ophangen,ophangen,ophangen,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
verjaardag,verjaardag,verjaardag,verjaardag,verjaardag,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
sprookjesboek,sprookjesboek,sprookjesboek,sprookjesboek,sprookjesboek,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
tandenborstel,tandenborstel,tandenborstel,tandenborstel,tandenborstel,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
lucifer,lucifer,lucifer,lucifer,lucifer,14,1,0,S01C006M1_3+4LG,FN
slaapkamer,slaapkamer,slaapkamer,slaapkamer,slaapkamer,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
achterdeur,achterdeur,achterdeur,achterdeur,achterdeur,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,c/30/38,1,0,S01C006M1_3+4LG,FN
afblijven,afblijven,afblijven,afblijven,afblijven,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
kabouter,kabouter,kabouter,kabouter,kabouter,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
washandje,washandje,washandje,washandje,washandje,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
sneeuwwitje,sneeuwwitje,sneeuwwitje,sneeuwwitje,sneeuwwitje,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
goeiendag,goe*dendag,goei*endag,goe*iendag,goed*endag,CORRECTLY_READ,0,1,S01C006M1_3+4LG,FP
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
limonade,limonade,limonade,limonade,limonade,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
autorijden,autorijden,autorijden,autorijden,autorijden,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
eindelijk,eindelijk,eindelijk,eindelijk,eindelijk,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
familie,familie,familie,familie,familie,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
chocolade,chocolade,chocolade,chocolade,chocolade,CORRECTLY_READ,0,0,S01C006M1_3+4LG,TN
klas,glas,*klas,*klas,glas,CORRECTLY_READ,0,1,S01C014V1_1LG,FP
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
koe,koe,koe,koe,koe,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
groei,groei,groei,groei,groei,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
bed,bed,bed,bed,bed,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
draai,traai,draai,draai,traai,CORRECTLY_READ,0,1,S01C014V1_1LG,FP
sjaal,sjaal,sjaal,sjaal,sjaal,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
herfst,herfst,herfst,herfst,herfst,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
duur,deur,duur,duur,deur,CORRECTLY_READ,0,1,S01C014V1_1LG,FP
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
leeuw,dee*l,leeuw,leeuw,dee*l,CORRECTLY_READ,0,1,S01C014V1_1LG,FP
clown,klo*on,clow*n,cl*own,kloo*n,CORRECTLY_READ,0,1,S01C014V1_1LG,FP
hoek,hoek,hoek,hoek,hoek,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
krant,krant,krant,krant,krant,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
hout,hout,hout,hout,hout,CORRECTLY_READ,0,0,S01C014V1_1LG,TN
