participant,word list,Faster-Whisper-Large-v2
4060102,kaart1A, icebomb the reich rietz zout planck klein net puh bock lein bunt jeug baal boer van koe volk raaf den baas koel donner neel boot zee krierson pindol gaas men moe ohm sieb dijk raaf piep rijn doos luik raam haak hoog ier keur gass puul rijk zuur teig kip ein zuin riep bot pot weeg riep hal weis boog veen raaf hiek tal hiss dok saas jaal hees rot uen das dijk laan ton dijk dijk wit zijn
4060102,kaart2A, klaar wens schiep stomp langs draf klont dram sneeuw stroop kraag gedaag strikt flim scharel snijt voort triest kronst hinkt slak naast geen sleuf troep blij plons mast glad ernest vlonst stunt arm brief sprui bril trost plut mist blok de waal de hond klein merk stop druk sproet haas speels de wijg zacht smoes mond zwijngraat kort fluit taart spons blik trots kleins minst pop wacht punt zwak broek frans bloem geramd
4060102,kaart3A, open rekening straliend vrij steelt morgenochtend aanzienlijk lichaam deel complex waar wie riegen uit de richt stief zus striefzus kijk schrijvers minimaal tuinhek sterren helemaal bril jont koeker henkel vervolgens opzettenlijk niet machine ontdek zwefvinger natuurlijk talent optie entetie ravi fietsen mireille soepel optie
4060105,kaart1A, ice cold dim wreck reed south south net pure buck lime mint yolk mow boar fang cool hook ram dam bass cool dom net meal boat safe here soon ping dool gas men own say dove raar beep rime loose luik ram haak rug air cure gas filt reik zuurt trug kip elk zol reen bot pan leeg reik hal wijs boog vee rauw heek taal hees dak zaus jauw heus rot boem tas duik laan dool doof taan taak fit
4060105,kaart2A, klaar wens grieps tomp langs draf klomp dang sneu stroop krijt graag strik film schraal snuit voort triest krans inkt slak naast grieps sleuf troep lijp bos mast grat ernst vlot stunt arm brief spril hul troost plus minst mist balk twaal rond kluip merk stop druk sproet haast spil dwerg zacht smoes bom tezwijg grijns koors flauwt zaart spons blik trot trots kluis minst bom vacht
4060105,kaart3A, opa rekening stralend fruit teelt morgenochtend aanzienlijk lichaamsweer complex lawaaierig uiterst stiefvus kijkcijfers minimaal tuinhek sterrenhengel briljant koker hennel vervolgens opzettelijk lichtmachines ondanks wijsvinnen natuurtalent attentief razendvies mineraal soepel botsen beroemd skimmiaal alstublieft
4060106,kaart1A, icebombs thinner eggs rice salt bread kale net pure bak lime mint yoke maal boer boer veen koe vok raam den bas koe dom nek meal boat zee kier kier kier zon pin dol gaas min om zeep duif raar piep rijn doos luik raam haak rug eer kuur gaas paap peul rijk zuur terug kip uil zool riem boot pan legerie riep huil wijs boel
4060106,kaart2A, klaar went schrip stomp stomp langs daaraf klompt darm snee snee snuit stroop kwijt graag schript film straalt snuit voort driest krans int slapt naast greek slurf troep blijf koolst maast glad ernst vlot stond arm brief spreeuw bruil trots plus mist mist balk dweil rond klee merk stop druk sproed haast
4060106,kaart3A, opa rekenen stralend veruitend morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uitengste stiefzus kijkcijfers minimaal tuinhek sterrenhengel briljant koker hengel vervolgens opzetten lijk liedmachine ondanks wijsvinger natuurtalent attentie
4200202,kaart1A, ice bone dun wreck rate salt baal kuyl net puur bak lijn min jeuk mauw de boer veen koe wok raam den baas koel tom nek meel boot zee keer zoen pint doel glas men oom zep zeep duif raar piep rijn doos lij lijk raam haar haak rug eer keur gas peul puul rijk zuur terug kip uil zoen riem boot baal leeg rijn haar half wijs
4200202,kaart2A, la wens riet stomp la langs draf plont darm sneu stok stroop wij krijp raag trik film schraal smuit vorst kraans inkt slak naast vriend sleur truif truf trub blijp bols maast glaat ernst blot stunt arm vree brief spreeuw brul
4200202,kaart3A, rekening stralend fruitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterst stiefjes kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk ontzettelen opzettelen niet machine ontdanks wijsvingen natuur
4200216,kaart1A, ijspoten rekadiet zoutpalken met puur baklijn mint jeugd melk por veen koel fok raam ten paas koel ton nek meel poot zee kier zoen pintel gaas men boom zee duif raar piep rijm doos luik ram haap rug eer keer gas bel rijk zuur teug kip uil zond riem poot pan leeg rijp hal wijs boog vee rauw hik taal hees tak zout heuw teun stot oen tas duif raam ton
4200216,kaart2A, klaar wens griep stomp langs straf klont darm sleus troop krijt graag strik strikt film schraal schraal snuit borst triest krans inkt slak naast gewind slurf troep blij bos mast glad ernst trots trot arm brief spreeuw bril trots plus mis ook dweil klont klein merk stop druk sproed haast speels dwerg zacht snoes punt zwij grijns korts flauw taart punt splik trots kluis minst pomp vacht punt zwak broek bloei graag korts wand bloei licht kerst krans grof
4200216,kaart3A, beginnbaar rekening stralend ruiktot morgenochtend aanzienlijk lichaamsdeel complex waaierig uiter stiefzus kijkcijfer minimaal tuinhemel sterrenhemel briljant koker hengel vervolgens opzettelijk niet magen niet megen ondanks wijsvinger natuurtalent fantatie rekenvies mineraals soepel botsing
4210102,kaart1A, icebomb dunewreck ritz zankpal kull net pure buck lime min yeuk mow dobor fink kool wok raam den baas kool tom neck nill both zade keer zo zoon pin dol gaas men om zeep duif raak piep krijn doos luik ram aak rukh eer keer gas pul rijk zuur teug kip elf zoel riem bot pan leeg rijp alwijs borg vee rauw ik tal hees bak sausje jauw neu hees rot oen tas duik laan
4210102,kaart2A, klaar wens griep stomp langs draf rond darm snuiw stroop krijt vraag graag strikt film schraal snuit voort triest krans inkt slak naast grint slurf troep blij borst mast grat ernst vlot stunt arm brief spreeuw brul troost plus mist balk dwaal rond klein merk stop druk sproed haast spult dwerg zacht smoes bond zwaai grijns korst flauw taart smuls blik trots kluis minst pomp vacht punt zwak broek frons bloei
4210102,kaart3A, opa rekening stralend vooruit teelt morgenochtend aanzienlijk lichaamsdeelcomplex lawaairig uiterst stiefzus kijkcijfers mini maal tuinhek sterrenhemel briljant kolker hengel vervolgers opzettelijk niet machine ondanks wijsvinger natuurtalent attentie razendfiets mineraal soepel botsing beroemd geniaal alfabetisch export honderd populair
4210103,kaart1A, ijsbam den rekrijt sjou paal plakien net puur baklijn mijn leuk mevrouw boer veen koel voelk dam den bas koel dam rek heel boot zee kier zoen pindoka gaas men oemen om zee druif raas piep rijn doos rijn
4210103,kaart2A, klærbenskip tomplangstaff klundstamnøy ståp sechtschästring fjellschaal strømgård stiets krant inkt slang nast rind strøm rup beibrund most gas ernst flod stund vorm briefs brilde stort pløs mist spår deil rund klein
4210103,kaart3A, al paar rekening strand fruit deel monumenten aangezien langs deel compliment lang uit kijkschijner minimaal tuinhek tuinhek steenhelemaal primant brokker engel vorst op neef in wijs nest natuurlijk zestie stulp stoel stoel brood
4210105,kaart1A, ijsboom bun rek riet zout paal kuil net vuur pak bak lijn min jeuk mouw bor veen koel wok raam ten baas koel dom nek mil boot zee kier loem pin dol gaas men oom zee duif raar piep rijn doos neuk raam haak rug eer keur gas peul rijk zuur teug kip uil zol riem boot pan leeg rijp haal wijs bulg vee rauw hik tel hees
4210105,kaart2A, knaar wens griep stom langs eraf klont darm sneuw stroop krijt graag strikt veel schaal snuit voort triest kranst inkt slak naast grint slurf troep blij pols mast glad ernst vlot steun arm brief spreeuw rot trots plus mist balk dwel rond klein merk stop druk sproet haast spel speels dwerg zacht sloes bond zwaai grijns korst flauw taart spons blik trots keels
4210105,kaart3A, open rekening stralend fluisterend morgenochtend aanzijnlijk lichaam stil complex lawaaierig uiterst stiefzus kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvinger natuurtalent attentie reflecties minimaal soeplepel botsing beroemd lineaal alfabetisch explore export honderd populair verkeerd rietje hartelijk besmaatschappij neushoornig
4210110,kaart1A, ijsboom dunrek riet zout paal kaal net purf bak lijn mien jeuk mouw porf veen koel woon wolk raam den baas koel ton nek meel boot zee kier zoen pint doel gang gas men op zeep tuif raar piep rijn doos luik raam haak reug eer keur gaas peul rijk zwart touw kip ouzo riem bot
4210110,kaart2A, klaar wens griep stom langs graag loont darm snu stro krijt graag strik veel schrouw snuit treist krans enk slaak nast grint sleur troep glijp pols mast glaant eerst vol snut aardrief spiro prul trots plusminus balk terwijl rond kraai merk stopdruk
4210110,kaart3A, open rekening stralen vrije tel morgens ochtend zij lijkt lichaam stil complex leverig uiterst stiefjes kijkcijfers minimaal tuinhek stekrekenen briljant koker hoekel vervolgens opzettelijk niemand schijnen omdoks
4250105,kaart1A, ijsboom dunrek riet zout paal kul net puur bak lijm min jeuk mouw bor veen koel wook raam den baas koel ton nek meel boot zeek kier zoen pint dol gaas men boom zeep duif raar piep rijn doos luik ram haak heer rug heer keur gas pul rijk zuur tuch kip el zoen riem bot pan leeg rijp hal wijs boog vee rauw hik taal vees dak saus joop jep heup heus rot
4250105,kaart2A, griep stomp langs draf klont darm sneeuw stroop krijt graag strikt film schraal snuit voort triest krans inkt slak naast grint slurf troep blij pols mast glad ernst vlot steun arm brief spriel brul troost plus mist balk dwel rond klei merk stop druk sproed haast speels dwerg zacht smoes bont zwaai grijns korst flauw taart spons blik trots
4250105,kaart3A, opa rekening talent fruithild morgenochtend aanzienlijk lichaamstil complex lawaairig uiterstiefse kijkcijfers minimaal tuinhek sterrenhemel briljant koker hemel vervolgens opzettelijk niet machine ondanks wijsvinger natuurtalent atletiek racefiets minigang soep spel buitenzien beroemd lineaal alfabetisch export honderd populair verkeerd dank u wel
4250117,kaart1A, ijsboomtunrekrietzoutpaalkuilnetpuurbakluimienjeugmaalborveenkuwokraamdenbaaskuultronnekmeelbootzeekierzoenpindolgaasmenomzeeduifraarpieprijndoosluidkraamhaakrugeerkuurgeluid gasbungrijzuurkrugkipuilzoenriembotpanlegleeggrijphalwijsboogveerauwiktaal eesheesdaksaushuisrotoentasduiknaadooftaakritsainootlieskatluinreusneerrekriet
4250117,kaart2A, klaar wens schiep stoms langs draf klont darm sneu stroop krijt graag strik film schaal smuit voort triest krans inkt slak naast gint slurf stroep blij pols mast glad ernstig vlot stunt arm brief spreeuw rul strot plus mij bal balk twijl rond klei merk stop druk sproed haast speel zwerg zacht smoes pont zwaai grijns korst flauw taart spons blik trots kluis minst pomp wacht punt zwak broek frons bloei graat koos wand plooi licht kers krent
4250117,kaart3A, opa rekening stralend fruitwild mors morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uitsterf stiefzus kijkcijfer minimaal tuinhek sterrenhemel briljant koker hengel vervogel opzettelijk nietsmachine ondanks wijsvingervinger natuurla attenti racefiets mineraal soeplepel postings beroemd lineaal afbeesten export honderd populair verkeer rietje hartelijk busmaat happy neushoorn herheiling winkelwagen krist staafdingerham rijstveld auto
4250204,kaart1A, ijs boom teun rek riet zout paal kauw net puur bak lijn min juik mauw boor veen wolk raam den bas koel dom nek neel boot zee kier zoen pin dol gras men oom zee duif raak piep rijn doos lijker tram hank rug eerkeur gras
4250204,kaart2A, klaar wen schriep stomp langs draf klont dram darm sneu storm storm krijt graag strikt strikt film graal snut snuit voort voort triest triest krans krans inkt inkt slak naast grint slurf troep blij ont mast glad ern ernaast voort stuurt stuurt arm
4250204,kaart3A, opa reken ik straalend fruitteelt morgenochtend aanzienlijk lichaam stil somplex lawaairig uit rest stiefzusje kijk cijfer minimaal tuinhek sterrenhemel briljant koker hengel verschoon vergooi vervolgens vervolgens vervolgens
4250205,kaart1A, ijspoten rekken zoutpaal kaal net puur bak lijn min jeuk mouw bor veen koel wok raam den baas koel dom nek meel boot zee kier zoen pin dol gaas men oom zeep duif raar piep rijn doost luik ram haak rug eer keur gas puil rijk zuur duig kip uil zul riem bot pan leeg rijp hal wijs boog vee rauw hik taal hees dak sjaus jauw heus rot oen tas duik laan dol doof taak vet zijn nood lies kat lui reus nier gek raak wijs geel rook lol geit zes boer buit bees kei vuur hap dik vier kous vaas pup roes gaap ree mat bal zoon lauw os gaaf biet maag
4250205,kaart2A, klaar wens griep stomp langs straf klont darm sneu stroop krijgt kraag strikt film schanaal snuit voort triest krans inkt slak naast gerind slurp troep blije pols mast glad ernst vlot stunt arm brief speel bril troos plus minst balk dwijl rond klei merk stop druk sploed haast speels dwerg zacht smoesje bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp vacht punt zwak broek front bloei kracht kort wand plooi licht kerst krent proefster kruid pracht 12 sla wild kaf paard spreeuw winst blok stier sneul herfst paard reet
4250205,kaart3A, opa rekeningstralend fruitsteelt morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterust stiefjes kijkcijfer minimaaltuinhek sterrenhemel briljant koker hengelvervolgens opzettelijk niet machine ondanks wijswinnaar natuurtalent racefiets mineraal soepel botsing beroemd lineaal alfabet export honderd populair verkeerd rietje hartelijk maatschappij neushoorn herhaling winkelwagen kritisch
4250211,kaart1A, ijsboondunnigrekrietzoutpaalkuilnetpuurbakbaklijminjeukmauwboerveenkoolwolkraamdenbaaskooldomnekmeelbootszeekierzoenpindelgaasmenoomzeepdijfraarbieprijndoosluikramhaakrugeerkuurgaspuulrijksuurtug kipelzorriembotpanlegrijphalwijsboogvhrauwiktaalheesdaksausjauwheusrotoentasduiklaantoldoftaakvitzijnootlieskatluireuseneergekraakbijtgeel rookloggeitzespoorbuitbeestijfuurhoog
4250211,kaart2A, wens griep stomp langs draf klomp darm sneeuw stroop krijt graag strik film schaal snuit voort triest krant inkt slak naast grint sleur troep blei pols mat grats ernst vlot tun arm brief spreeuw bril troost plus mist balk dwel rond klep klein merk stop druk sproed haast speels dwerg zacht smoes bond zwaai grijns korts vlauw taart spons blik trots kluit minst pomp wachtpunt zwak broek frons ploei gracht korts wand ploei licht kerst krent proef ster kruid pracht twaalf sla wild kraf paard speer winst blok stierk
4250211,kaart3A, opa rekening stralend fruitteelt morgensnochtend aanzienlijk lichaam stil complex lawaaiig uiterst stiefzus kijkcijfers minimaal tuin hek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvinger natuurlijk talent attentie racefiets mineraal soepel botsing beroemd lineaal alfabetisch export honderd populair verkeerd grietje hartelijk bus maatschappij neushoorn herhaling winkelwagen quiz schaart diagram reisveld autorit prima stedelijk
4260104,kaart1A, ijs boom dun drek riet zout paal kuil net puur bak lijn min jeuk mouw bor veen koe wok raam den baas koe dom neck mil boot zeef kier zoen pindol gaas men oom zeef duif raar piep rijn doos luik ram haak rug eer keur gas peur pool rijk zuur teuf kip uil zool riem bot pan leg krijp hal wijs boog wee rauw hik taal hees dak saus jauw heus rot oen tos
4260104,kaart2A, klaar wensen riep stomp langs dat draf klont dram sneeuw stroop krijt graag snikt strikt film schrauw snuit fort tries krans inkt slak naas grit slurf troep blij plons mast klat ernst vlot stunt arm brief spreeuw brul troost plus mist balk dwel rond klei merk stop druw druk sproet haast speels dwerg zacht smoes bond zwaai grijs
4260104,kaart3A, opa rekening stralend fruit fruitteelt morgenochtend aanzienlijk lichaamsdeel complex lawaairig uit de terst stiefzus kijkcijfer minimaal tuinhek sterrenhemel briljant kokker hengel vervolgend opzettelijk niet machine ondanks wijsvinger natuurtalent actie racefiets miniraal soepel botsing beroemd lineaal alfabetisch export honderden populairden verkeerd rietje hartelijk busmaatschappij
4260106,kaart1A, ijsboom dun rek riet zout paal kuil net puur bak lijn min jeuk maal bor veen koe volk graan den baas koe dom nek meel boot zee keer zoen pindel gaas men oom zeep duif raar piep brein doos lijk raam haak rug eer keur gaas pijl rijk zuur teug kip erzol riem boot pan leeg rijp haal wijs boog veen rauw hik taal hees dak saus jauw haus rot oen tas puik laan tol doof taak vit zijn nood lies kat luier reus neer gek raar bijt giel
4260106,kaart2A, klaar wens griep stomp langs straaf klont darm neus troop krijt graag strikt film schaal snuit voort ries kans in slak naast gins lucht troep blij pols mast glad ergst vlot stunt arm brief spreeuw bebreuw troost plus mist bal twijl rond klei merk stop druk sproed haas pijls twerg zacht smoes ton zwijg grijs borst korst flauw taart spons blik trots kluis pins pomp vachtpunt zwak broek broekfons bloei graag korst wand
4260106,kaart3A, opa rekenen stralen het fruit heelt morgenochtend aanzienlijk lichaam stil complex lawaaierig uitsterfstiefse kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvingen natuurtuin authentisch rijken fiets racefiets generaal soepel botsing beroemd lineaal afstaanbied export honderd populair verkeerd rietje hartelijk busbaarschapperij naneushorn verhaling winkelwagen kritisch strafdiagram reistveld autorit primaal stedelijk duwen helling aardbras
4260107,kaart1A, ijsboomdunrekfietsuitpaalkuilnetpuurbaklijnminjeukmaalborveenkoolwokraamdenbaaskooldonnekmilbootzekeerzonzoenpindolgaasmenoomzeepduivraarpieprijndozelijk luik ramhaakrug eer kuur kuurgaspeel rijkszuur turug kip el zol riem bot pan leeg rijp hal wijs hoog vee raal hik taal hees
4260107,kaart2A, klaarwens griep stomp langs straf klont dram snit snu stroop krijt graag strikt film schraal snuit vor fort triest krans inkt slak naast grint slurf troep blij pols mast glat ernst vlot plot stunt aan drief spreeuw beul brul troost puls mist blak dwijl rond klein merk stop deur druk
4260107,kaart3A, opa rekening stralend fruitteelt morgenochtend aanzienlijk lichaam stil complex laagweierig uiterste stiefzus kijkcijfers minimaal tuinhek sternhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvinger natuur talent atentie racifist mineraal soepel botsing beroept roet
4260113,kaart1A, ijsboon dun rek niet rit zout paal krul net puur bak lijn min jeuk mouw boor veen veen koe wolk raam den baas kool dom neck meel boot gaas men oom zeep duif raar piep rijk doos luik ram haak rug eer puur gas pleu peel rijk zuur terug kip el zol riem boot pan leg rijk zol gag raam hik jaa boos wal wou bij boos wal boos wal boos wou boos wal boos wal wal boos wal wal wal boos wal wal wal
4260113,kaart2A, klaar wens griep stom langd draf klom drang sneu stroop kruid graag strik veon schaal snuit vervorst triest krans inkt slak naast grind slurf troep plei plot mast glad ernst flot steen arm brief spreeuw beul getroost plus minst bak balk dwel grot klei merk stop druk sproed haast speels dwerg
4260113,kaart3A, opa rekent stralend fluitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterst stiefsus kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervogels vervolgens opzettelijk nietsmachine ondanks wijsvinger naturale 18
4260114,kaart1A, ijs boom blum lek riet zout paal karrel net puur bal lijm mien jeuk mauw dorp veen poel rook zaan bes baas koel tom nek melk boot zee kiet zoen pin dol gaas mes hen oom zee duif raar piep wen deus luik laam haak rug eer kuur gas bel rijk zuur teeg kip elzo wien bot pan licht diep hij wijs poel veel loo hik taal hens dak saus joel
4260114,kaart2A, klaar wens griep stomp langs drap af klont daarn sneeuw stroop kwijt graag strikt film schraal snuit voort striet klans inkt slank naast gewind sluur troep lij poos mats glats inkt vlot stunt aard berief spreeuw belui stroos beluis mist balk drel rond glij merk stop tereik sproed haast speels
4260114,kaart3A, vandaag rekeningskraanlijn verduidelijk morgenochtend aanzienlijk lichaamsdeel complex leiderring uiterst stiefzus kijkenvers minima tuinhek sterrenhemel briljant koker hengel vervolgens opzittelijk niet mag tenen ondanks reisverzinner natuurtalent afteleltje lasfiets mineraal soep
4260115,kaart1A, ijsboom dunrek riet zout paal kruil net puur bak lijn min jeuk mouw bor veen koe wolk raam den baas koe don nek mil boot zee kier zoen pindol gaas men oom zeep duif haar piep grijn doos luik raam haak rug eer keur gas peul rijk zuur terug kip uil zoel riem bot pan leeg rijp hal wijst poog vee rauw hiek touw hees dak saus jauw heus rot
4260115,kaart2A, klaar wens riep stomp langs draf klonk daan sneus strook krijt kraag strik film schaal snuit vorm kries kras ink slak naast grint slurf troep blaai bos mast glas erst flot stunt arm brief schreeuw brul troost plus mist bak dwijl rond klei merk stop druk sproed haast speels dwerg zacht smoes bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp zacht pont zwak broek vonst bloei gegracht koot wand plooi licht ergst krent
4260115,kaart3A, opa rekening talent fruitdeelt morgenochtend aanzienlijk lichaamsdeel complex lawerig uitderst stiefdus kijkserfers miniamaal tuinheks sterrenhemel briljant kokerhemel vervolgers opzettelijk nietmachinen ondanks wijsvinger natuurtalent actie racefiets miniaal soepel botsing beroemd indiaal afbex export honderd honderd populaar verkeerde rietje hardelijk pismaatschappij neusgewoonherhaling
4410104,kaart1A, ice bone dune wreck reed salt pale coal net pure buck line min yoke mow boar boar vein cool wok ram den bass cool dom neck male boat say keer soon pin do gas man om zeep dove raar piep rein doos luik ram haak rug eer keur gas peul reik zuur tru tur kik el zoel zoel rim bot bot pan neef reip hal wijs boch vee rauw heek taal hees dak staus jauw heus rot
4410104,kaart2A, vlaar wens schiep stomp langs draf klont dan sneu stroop krijt graag strikt film schaal snuit fort triest krans inkt slak naast gint slurf troep blij pols mast glad engst lot steunt arm brief spreeuw prul trots blus mist balk twijl rond klein merk stomp druk sproets haast speels dwerg zacht moes smoes bond zwaai grijns korst vlauw tra
4410104,kaart3A, opa rekening stralend fruitdeelt morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterst stiefzus kijkcijfers minimaal tuinhek sterren hemel briljant koker hengel vervolgens opzettelijk nietmachine ondanks wijsvinger natuurtalen actien racefiets mineraal soepel botsing
4410107,kaart1A, ijsboom doen rijksgids zou bakken het vuurbak lijn mijn jeugd mouwboer vinkoe rokraam den baas koeldom mekmel mel bootseker zoen pindoren mijn oom zeep duifraar piep rijntoos lijk raam hakeren eer kerk kerk gaspel rij zuur teug kip uil zol ruim boot bad pan licht rijp haal wijs boog wil wou hiktal hees dak saus jouw huis wordt een
4410107,kaart2A, klarenwens schriep stonden langs de klont klont hoe snel is het droog krijt graagst strikt film schaal schaal snuit frots trits kraans inslag naast grinsleur troep blije pols maast glad ernst vol stond arm brief schreeuw brul troost plus mist balk duwen rond klein merk stop druk sproed haast speelt dwerg zacht smoes pont zwaai graag graag koorst flauw taart spons
4410107,kaart3A, opa rekening starten vasten mochten aanzien gelijk lichaamsdeel complex lijkt aap aap aap aap aap aap aap aap aap aap aap koker hemel ga maar verder bij tien daar was je probeer het maar gewoon ik kan niet tellen uiter daar uiter daar niet machine niet machine om dankzij wijsvingers natuurlijk ook serieus meerhouden te maken
4410207,kaart1A, ice bone tun rec reed salt pal ka ka kel net pur bak lime min jeuk mau bor veen koe wok raan den ba baas koe dom nek meel bot zee keer zoon pin dool gaas men om zeep duif raar piep rijs doos luik raam haak rus rug heer kuur gras peul rijk zuur teug kip uil zool riem bot pan leeg rijm hal wij wijs boom boom
4410207,kaart2A, klaar wens riep stonk langs draf klonk draam sneeuw stroop krijgt graag strikt film schaar schraal snuit vocht trier riep krans inkt slang slak naakt naast grenk sluur stroep blij polst mast glad eerst vlot stunt brief spreeuw
4410207,kaart3A, opa rekeningstralend vervaltijd mogenochtend aanzienlijk lichaamsdeel complex lawaaierig uitgerust stiefjes kijkcijfers minimaal tuinhek stering hemper breil jand koker hennel vervolgens opzet zerg lijk niep machine ontdengs wijfvinger natuurtalenten
4410222,kaart1A, ijsboom dun riet zout paal kou net puur pak lijn win jeuk mouw boor veen koe wok raam den baas koel dom nek meer boot zee kier zoen pindel gras men oom zeep duif raag piep wijn doos luik ram haak rug eer keur gras beul rijk zuur teur kip uil zool riem pot pan leeg grijp hal wijs boog vee rouw heet taal hees dak saus jouw neus schot oer net
4410222,kaart2A, klaar wens griep stom langs eraf klont duim sneeuw stroom kruid graag strik film schuil snuit woord triest krans inkt slak naast grend slurf troep blij pols mast glad ernst vlot stent am brief spreeuw brul troost plus minst balik twijl rond klei merk stop druk sproeit haast spelers dwerg zacht smoes bond zwaai grijs korst flauw taart spond blik kot kluist
4410222,kaart3A, opa rikkie stralend fluitend morgenochtend aanzienlijk lichaam stil complex lawaaierig uitgerust stiefzus kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvingen natuurlend natuurlend alternatief grijsfiets minder raar soepel botsing beroemd lineaal alfabetisch export honderdig populair verkeerd ruudjehartelijk busmaatschappij
5010101,kaart1B, drie vier zee nek was meel dom zoen boot denk koel biet schaaf bal zoon pier lauw bes maag os mat rook bij bijt geel kei boor geit zes lol buit spees vier hapt kaus roet roes up vaas dik revier gaap boog wijs rauw taal hees val hee vee hik saus dak rug haak luik eul wijk gas eer doos ram kuur zee raak duif men doel uur oom rijn lijn gaas hoek lijn mauw raak ram geit
