participant,word list,Faster-Whisper-Large-v2_VAD
4250117,kaart2A, klaar wens schiep stons langs draf klont darm sneu stroop kruid graag strik film schaal smuit voort triest krans inkt slak naast gint slurf troep blij pols mast glad ernstig vlot stunt arm brief spreeuw rul strot plus meist bal balk twijl rond klei merk stop druk sproet haast speel zwerg zacht smoes pont zwaai grijns korst flauw taart spons blik trots kluis minst pomp wacht punt zwak broek frons bloei graat koos wand plooi licht kers krent
4250117,kaart3A, opa rekening stralend fruitwild mors morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uitsterf stiefzus kijkcijfer minimaal tuinhek sterrenhemel briljant koker hengel vervogel opzettelijk nietsmachine ondanks wijsvingervinger natuurla atentie racefiets mineraal soeplepel postings beroemd lineaal afbeet export honderd populair verkeer rietje hartelijk busmaat hebbie neushoorn herheiling winkelwagen krist staafdingerham rijstveld autobus
4250204,kaart1A, ijs boom teun rek riet zout paal kaal net puur bak lijn min jui jeuk mauw mauw boor veer kieren zoen
4250204,kaart2A, klaar wen schriep stomp langs draf klont draam krijt graag strikt stringt film graal fort fort triest triest krans krans slak
4250204,kaart3A, opa reken ik straalend fruit teelt morgenochtend aanzienlijk liefstusje kijk cijfer minimaal vervolgens
4250205,kaart1A, ijspoten rekken zoutpaal kaal net puur bak lijn min jeuk mouw bor veen koel wok raam den baas koel dom nek meel boot zee kier zoen pin dol gaas men oom zeep duif raar piep rijn doost luik ram hakerug eerker gas puil rijkzuur tuig kip uil zul riem bot pan leeg rijp sjous jouw huis rot oen tas duik laan dol doof taak fit zijn nood lies kat luieruis neer gek raak wijs geel rook lol geit zes boer buit bees kei vuur hap dik vier kous vaas pup roes gaap bal zoon lauw doof
4250205,kaart2A, klaar wens griep stomp langs straf klont darm sneu stroop krijgt kraag strikt film schanaal snuit voort triest krans inkt slak naast gerind slurp troep blije pols mast glad ernst vlot stunt arm brief speel bril troos plus minst balk dwijl rond klei merk stop druk sploed haast speels dwerg zacht smoesje bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp vacht punt zwak broek front bloei kracht kort wand plooi licht kerst krent proef ster kruid pracht twaalf sla wild kaft paard spreeuw winst blok stier sneeuw herfst paard draad
4250205,kaart3A, opa rekeningstralend fruitsteelt morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterust stiefjes kijkcijfer minimaaltuinhek sterrenhemel briljant koker hengelvervolgens opzettelijk niet machine ondanks wijswinnaar natuurtalent racefiets mineraal soepel botsing beroemd lineaal alfabet export honderd populair verkeerd rietje hartelijk maatschappij neushoorn herhaling winkelwagen kritisch
4250211,kaart1A, ijsboon dun rek riet zout paal kuil net puur bak bak lijm min jeuk mouw boer veen koel wolk raam den baas koel dom nek meel boot zee keer zoen pindel gaas men oom zeep duif raar piep rijn doos luik ram haak rug eer kuur gras peul rijk zuur trut trug kip elzel riem bot pan leeg rijp hal wijs boog vee rauw hik taal hees dak saus jauw heus rot oen tas duik laan tol doof taak wit zijn nood lies kat lui reuzen neer gek raak bijt geel rook lol geit zespoor buis beest kijf vuur hout
4250211,kaart2A, wens griep stomp langs draf klomp darm sneeuw stroop krijt graag strik film schaal snuit voort triest krant inkt slak naast grint sleur troep blei pols mat grats ernst vlot tun arm brief spreeuw bril troost plus mist balk dwel rond klep klein merk stop druk sproed haast speels dwerg zacht smoes bond zwaai grijns korts vlauw taart spons blik trots kluit minst pomp wachtpunt zwak broek frons ploei gracht korts wand ploei licht kerst krent proef ster kruid pracht twaalf sla wild kraf paard speer winst blok stierk
4250211,kaart3A, opa rekening stralend fruitteelt morgensnochtend aanzienlijk lichaam stil complex lawaaiig uiterst stiefzus kijkcijfers minimaal tuin hek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvinger natuurlijk talent attentie racefiets mineraal soepel botsing beroemd lineaal alfabetisch export honderd populair verkeerd grietje hartelijk bus maatschappij neushoorn herhaling winkelwagen quiz schaart diagram reisveld autorit prima stedelijk
4260104,kaart1A, ijs boom dun drek riet zout paal kuil net puur bak lijn min jeuk mouw bor veen koe wok raam den baas koe dom neck mil boot zeef kier zoen pindol gaas men oom zeef duif raar piep rijn doos luik ram haak rug eer keur grat gas peur pool rijk zuur zur teuf kip uil zool riem bot pan leeg krijp hal wijs boog wee rauw hik hees dak saus jouw heus rot oen tas
4260104,kaart2A, klaar wensen riep stomp langs dat draf klont dram sneeuw stroop krijt graag snikt strikt film schrauw snuit fort tries krans inkt slak naas grit slurf troep blij plons mast klat ernst vlot stunt arm brief spreeuw brul troost plus mist balk dwel rond klei merk stop druw druk sproet dwerg zacht smoes bond zwaai grijs
4260104,kaart3A, opa rekening stralend fruit fruitteelt morgenochtend aanzienlijk lichaamsdeel complex lawaairig uit de terst stiefzus kijkcijfer minimaal tuinhek sterrenhemel briljant kokker hengel vervolgend opzettelijk niet machine ondanks wijsvinger natuurtalent actie racefiets miniraal soepel botsing beroemd lineaal alfabetisch export honderden populairden verkeerd rietje hartelijk busmaatschappij
4260106,kaart1A, ijsboom dun rek riet zout paal kuil net puur bak lijn min jeuk maal bor veen koe volk graan den baas koe dom nek meel boot zee keer zoen pindel gaas men oom zeep duif raar piep brein doos lijk raam haak rug eer keur gaas pijl rijk zuur teug kip erzol riem boot pan leeg rijp haal wijs boog veen rauw hik taal hees dak saus jauw haus rot oen tas put tol doof taak vit zijn nood lies kat luik neer gek raar bijt geel rood
4260106,kaart2A, klaar wens griep stomp langs straf klont darm neus troop krijt gracht strikt film schaal snuit voort ries kans in slak naast ginsleur troep blij pols mast glad ergst vlot stunt arm brief spreeuw bebreul troost plus mist ballen twijl rond klei merk stop druk sproed haas pijls twerg zacht smoes don zwaai grijs borst worst flauw taart spons blik trots kluis pins pomp wachtpunt zwak broek broekfonds bloei graagd korst wan want
4260106,kaart3A, opa rekenen stralen het fruit heelt morgenochtend aanzienlijk lichaam stil complex lawaaierig uitsterfstiefse kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvingen natuurtuin authentisch rijken fiets racefiets generaal soepel botsing beroemd lineaal afstaanbied export honderd populair verkeerd rietje hartelijk busbaarschapperij na neushoorn verhaling winkelwagen kritisch strafdiagram rijstveld oerrit primaal stedelijk duwen helling aardgas
4260107,kaart1A, ijsboomdunrekfietsuitpaalkuilnetpuurbaklijnminjeukmaalborveenkoolwokraamdenbaaskooldonnekmilbootzekeerzonzoenpindolgaasmenoomzeepduivraarpieprijndozelijk leuk ramhaak rug eer kuur kuurgas peel peel rijk zuur trug kip hal wijs hoog vee rauw vees dak saus jauw heus rot oen tas
4260107,kaart2A, klaarwens griep stomp langs straf
4260107,kaart3A, opa rekening talent fruitteelt moorgerster stiefzus opzettelijk niet machine vingersvinger natuur
4260113,kaart1A, ijsboon deun rek niet wiet zout paal krul net puur bak lijn min jeuk muil bor veen veen koel wolk raam den baas koel dom nek meel brood zee keer zoen pin dol gaas men oom zeep duif raar piep rij doos luik ram haak rug eer puur gas pleur peul rij riem boot pan leeg rijf hal wijs boog hee rouw tel
4260113,kaart2A, klaar wens griep stom langd draf klom drang sneu stroop kruid graag strik veon schaal snuit vervorst triest krans inkt slak naast grint slurf te roep plei plots mast glad
4260113,kaart3A, opa reken reken stralend fluitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaai reiterst zief stiefzus kijkcijfers minima vervolgens opzetten wijsvinger naturale achttien
4260114,kaart1A, ijs boom blum lek riet zout paal karrel net puur bal lijn meen jeuk maal koel rook zaan bes baas koel dom nek mijl zoen been dool rug eer kuur gas paal
4260114,kaart2A, klaar wens griep stomp langs drap afklont daarn sneeuw stroop krijt graag strikt film schraal snuit voort striet klans inkt slang gerind sluur verloot stunt aard berief spreeuw glij merk stop draai sploed
4260114,kaart3A, verpaal rekenings verhaallijn verduidsel moor plasfiets minnaar
4260115,kaart1A, ijsboom dun rek riet zout paal kruil net puur bak lijn min jeuk maal bor veen koe wolk raam den baas koe don nek mil boot zee kier zoen pindol gaas men oom zeep duif haar piep grijn doos luik raam haak rug eer keur gas peul rijk zuur terug kip uils zoel riem bot pan leeg rijp hal wijst boog vee rauw heek touw hees dak saus jouw huis rood
4260115,kaart2A, klaar wens riep stomp langs draf klonk daan sneus strook krijt kraag strik film schaal snuit vorm kries kras ink slak naast grint slurf troep blaai bos mast glas erst flot stunt arm brief schreeuw brul troost plus mist bak dwijl rond klei merk stop druk sproed haast speels dwerg zacht smoes bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp zacht pont zwak broek vonst bloei gegracht koot wand plooi licht ergst krent
4260115,kaart3A, opa rekening talent fruitdeelt morgenochtend aanzienlijk lichaamsdeel complex lawerig uitderst stiefjes kijkserfers miniamaal tuinheks sterrenhemel briljant kokerhemel vervolgers opzettelijk nietmachinen ondanks wijsvinger natuurtalent actie racefiets miniaal soepel botsing beroemd indiaal afbex export honderd honderd populaar verkeerde rietje hardelijk busmaatschappij neusgewoonherhaling
4410104,kaart1A, ice bone dune wreck reed salt pale coal net pure buck line min yoke mow borch boar vein cool wok ram den bass cool dom neck male boat say keer soon pin do gas man ohm zeep dove raar peep rein doos luik ram haak rug eer keur gas pul reik zuur tru tur zoel zoel rim bot bot pan neef reip haal wijs borch vee heek taal hees staus jauw heus rot
4410104,kaart2A, vlaar wens schiep stomp langs draf klont dan snui lus mist balk twijl rond klein merk stomp druk sproets haast speels dwerg zacht moes smoes zwaai grijns korst flauw traa
4410104,kaart3A, opa rekening stralend fruit deelt morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiter maschine huisvinger natuur
4410107,kaart1A, ijsboom doen rijksgids zou bakken het vuurbak lijn mijn jeugd mouwboer vinkoe rokraam den baas koeldom mekmel mel bootseker zoen pindoren mijn oom zeep duifraar piep rijntoos lijk raam hakeren weerkerker gaspelrij zuurteg kip uil zol ruim boot bad pan licht rijp haal wijs boog wil wou hiktal hees dak saus jauw heus rot een
4410107,kaart2A, klarenwens schriep stonden langs de klont klont hoe snel is het droog krijt graagst strikt film schaal schaal snuit frots trits kraans inslag naast grinsle troep blaaie pols maast glad ernst vol mist balk duwen zacht smoes pont spons
4410107,kaart3A, opa rekening starten wassen mochten aan ziekenlijk lichaamsdeel complex leiden aap aap aap aap aap aap aap koker hemel ga maar verder bij tien probeert maar gewoon nee ik kan niet tellen uiterst daar het is een minimaalte opzet niet machine dankzij wijsvingers natuurlijk ook serieus meer dan normaal
4410207,kaart1A, ice bone dun wreck reed south pal car car kel net pure buck line min yeuk mau bor feen koo wok raan den ba baas kool dom nek mail boat zee keer zoon pin dool gaas men oom zeep duif raar piep rijs doos luik raam haak rus rug eer kuur gaas peul rijk zuur teug kip uil zool riem boot pan leeg rijm hal wijs boom
4410207,kaart2A, klaar wens riep stonk langs draf klonk draam sneeuw stroop krijgt graag strikt film schaar schraal snuit vocht trier riep krans inkt slang slak naakt naast grenk sluur troep blij polst mast glad eer slot stuunt stunt aan brief spreeuw
4410207,kaart3A, opa rekeningstralend vervaltijd mogenochtend aanzienlijk lichaamsdeel complex lawaaierig uitgerust stiefjes kijkcijfers minimaal tuinhek stering hemper breil jand koker hennel vervolgens opzet zerg lijk niep machine ontdengs wijfvinger natuurtalenten
4410222,kaart1A, ijsboom dun riet zout paal kou net puur pak lijn win jeuk mouw boor veen koe wok raam den baas koel dom nek meer boot zee kier zoen pindel gras men oom zeep duif raag piep wijn doos luik ram haak rug eer keur gras beul rijk zuur teur kip uil zool riem pot pan leeg grijp hal wijs boog vee rouw heet taal hees dak saus jouw neus schot oer net
4410222,kaart2A, klaar wens griep stom langs eraf klont duim sneeuw stroom kruid graag strik film schaal snuit voort triest krans inkt slak naast grend slurf troep blij pols mast glad ernst vlot stent am brief spreeuw brul troost plus minst balk twijl rond klei merk stop druk spoed haast spelers dwerg zacht smoes bond zwaai grijs korst flauw taart spond blik trots kluist
4410222,kaart3A, opa rikkie stralend fluitend morgenochtend aanzienlijk lichaam stil complex lawaaierig uitgerust stiefzus kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvingen natuur natuurlent atinitie grijsfiets mineraal soepel botting beroemd geniaal alfabetisch export honderdig populair verkeerd ruudjehartelijk busmaatschappij
5010101,kaart1B, drie vier zee nek was meel dom zoen boot denk koel biet schaaf bal zoon pier lauw bes maag os mat rook bij bijt geel kei boor geit zes lol buit spees vier hapt kaus roet roes up vaas dik revier gaap boog wijs rauw taal hees val hee vee hik saus dak rug haak luik eul wijk gas eer doos ram kuur zee raak duif men doel uur oom gaas boek deim mauw raak ram geel koel
5010101,kaart2B, blok speer twaalf winst kalf paard sla stier pracht wild schroef gok melk staart zelf graan derk stuurt mals bleek held sneeuw braan sterk plats herfst prins veer snee bord kerk gracht ster koord plooi kruid licht krent wand proef schaats vreemd gram klunt drooi drip poets toets draai hulp knaps knap haats melk dweijel klei stopt dwerg sproed blond vloer stank glimt straf tint grast snoer beeld graai langs grip sneeuw darm stroop wenst klont stromp klaart
5010101,kaart3B, neushoorns liedje verkeerd alfabetisch export lineaal hartelijk bus maatschappentijd populair honderdcomplex stralend rekening morgenochtend lawaaierig uiterstuk fruit fruitteel aanzienlijk lichaamsteel opa kanaal beloning verdelende verzingende lijk verrasterd veranderd veranderen aardgascompleet vogelspin boxer temperatuur klimaat natuurtalent botsing nietmachine miniraal racefiets actrice soepel ondanks wijflingen beroemd kaasrecht proeven neerrijden scheetsabsoluut instappen instapkaart
5010110,kaart1B, kierzee nekkebaas meel dom zoen bo denk koel koel biet gaaf bal zoon pier blauw blauw bes maag os mat rook bijt geel keijer bor geit zes loop buit bees vier hap kaus roes pup vaas dik ree vuur gaap boog bijs rautal hees haal vee hik saus dak rug haak luik luik puil hoel rijk gas eer doos ran kuur zeep zeeperaar duif men dom
5010110,kaart2B, blok spier twaal winst kaft paard sla stier praag teweel schroef grof melkstaart zelfgraan kerk stuurs maals bleek hel sneeuw braam sterk plat hersen pins verf snee bord kerst gracht ster kort plooi kruid licht krent wand proef schaats vreemd gram klut troon strip toets draai gehu hulp knap haas melk teweel rond spils druk draai stop
5010110,kaart3B, neushoornrietje verkeerd alfabetisch export lineaal hart hartelijk bus maatschappij hiphop populair honderd complex stra stralend rekening mor ganochtend lawaaiig uit uiterst fruit teelt aanzienlijk lichaamsdeel opa kanaal beloning zinde zindelijk veranderend aardgascompleet volgenspin bokser
5010114,kaart1B, kier zee nek paas meel dom zoen boot den koel biet gaaf bal zoon pier lauw wes maag os mat rook bijt geel kei poor geit zes rol bijt beest vier hap kaus roep roes pup vaas dik ree vuur schaap boog wijs rouw touw hees hal vee hik sjaus dak rug haak luik pil rijk gas eer doos ram keur zee raar duif men
5010114,kaart2B, blok speer twaalf win winst kalf paard sla stier pracht wild schroef grof melk staart zelf kerk stuur mals bleek held sneeuw braam sterk herfst prins zerf borst
5010114,kaart3B, neushoorn rietje verkeerd alfabet alfabetisch export lineaal hartelijk busmaatschappij populair honden fruitdeelt aanzienlijk lichaamsteel opa kanaal beloning zindelijk veranderen aardgas compleet vogelspin bokser temperatuur klimaat natuurtalent botsing niet machine mineraal racefiets
5060102,kaart1B, keer zee nek paas meel don zoen boten koel biet gaaf bal zoen beer lauw bes maag oos mat rook bijt geel kei bor bor geit zes lol buit beest weer hap keus roes pup vaas dik ree buur gaaf boog wijs rauw taal hees haal haal wee hik saal ze tak rug haak leuk pil rijk gas er doel
5060102,kaart2B, blok speer twaalf winst kaft paard sla stier pracht wild schroef grof melk staart zelfs graan kerk stuur semaal spleek held sneeuw graan raam sterk plat herfst prins dwerf snee boord kers gedacht ster kort plooi kruid licht krent wond schroef schatst vriend gram kleut tronstrip toets draai hulp knap smerp dwaal rond speels druk klei stop dwerg sproed blond veer vleur
5060102,kaart3B, neushoorn rietje verkeerd alfabetisch export lineaal hartelijk busmaatschappij populair honderd complex stralend rekening morgenochtend lawaaierig uiterst fruiteld aanzienlijk lichaamsdeel opa kanaal beloning zindelijk verraderen het gas compleet vogelspin bokser temperatuur klimaat natuurtalent botsing niet machine
